wt_min,wt_max,n,AUClast_logcv,AUClast_geo,Cmax_logcv,AUCinf_rel_logcv,reliable_pct
50,115,20000,49.2636383177243,498.465212216753,39.5176255839359,45.1036628993588,84.62
60,90,9307,41.1493614146464,546.239834288957,34.5337932040657,38.0369777293012,86.1394649188783
60,75,4655,39.246196438335,609.000379057565,33.1925049340678,36.79101624354,86.5091299677766
75,90,4652,39.6415581743679,489.912715831461,34.0055837302944,36.0018929040201,85.7695614789338
70,100,9337,41.273423473794,473.765455154987,34.8706278633583,37.5337592497999,84.3525757738032
55,95,12409,43.1794554002617,549.339943881829,35.7369714269125,39.6728470922516,85.8489805786123
50,100,15442,45.6590166363201,552.846117263911,37.2439602059148,42.1356627897046,85.9603678280016
65,85,6281,39.3821776158547,543.610975879044,33.5079230787138,36.3104143876003,85.9098869606751
