schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant
Bminus,KE110,500,0.00883262360949167,0.00863252459065473,0.00903272262832862,0.4,2
D1,KE110,500,-0.000864612126105679,-0.00104851408575451,-0.000680710166456844,-0.2,1
D2,KE110,500,-0.00185502955450152,-0.00204703687102939,-0.00166302223797365,-0.2,1
D3,KE110,500,0.00340344710613006,0.00308638507008191,0.0037205091421782,0,0
D4,KE110,500,-0.00108801406368653,-0.00126406832757291,-0.000911959799800162,0,0
Bminus,S00,500,0.0100139181204832,0.00980779679709611,0.0102200394438703,0,0
D1,S00,500,-0.000635160363759306,-0.000828942814236622,-0.000441377913281989,0,0
D2,S00,500,-0.00180513230310795,-0.00200815427404557,-0.00160211033217034,0,0
D3,S00,500,0.00396679365960121,0.00363686251752713,0.00429672480167529,0,0
D4,S00,500,-0.000886782457955217,-0.00107158131732879,-0.000701983598581646,0,0
