schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
D2,F090,500,-0.00340125389106434,-0.00357744200387672,-0.00322506577825196,-1.2,6,-2.15535969134283,-0.244640308657166
D2,KE110,500,-0.00362734707883388,-0.00380646879491428,-0.00344822536275347,0.2,1,-0.191992796908011,0.591992796908011
D2,S00,500,-0.0040196988208587,-0.00420647787036352,-0.00383291977135388,0,0,0,0
