scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,n_reliable,n_dropout,wt_retained_mean,wt_dropout_mean,wt_dropout_median,trial
F090,B0,R,117,34.703772100958,21.5254571250876,49.6434821732789,,98.6581196581197,86.9794871794872,80.4598290598291,11.6786324786325,1.08717948717949,8.41025641025641,86.4444444444444,3.343,51.6892634028839,2.8056854594329,12.0119320731964,1.10156010995683,0.67796040862646,3.53643228497605,0.00170940170940171,-0.0282039981637318,0.0946382717094345,0.0953547098798581,-0.0396180767733333,544.511187462707,40.0493467825599,585.165326195688,36.2031927550631,34.0905319167153,38.1453408481804,585.144962281278,569.08479119627,94.138,22.862,74.8234352276427,75.6668849593355,75.6908609742171,250.5
F090,B0,T,117,31.6731814734638,20.6144130447005,46.3729469316406,,97.7418803418803,84.8358974358975,77.5521367521368,12.9059829059829,1.94017094017094,10.0564102564103,83.8820512820513,3.171,54.0896391113713,3.18956086692567,14.0987971426246,1.98503288495591,0.797388705001111,4.26454806635446,0.00170940170940171,-0.0293759888851402,0.0962590598347757,0.097379266715731,-0.0424011271178109,456.772309255676,40.8658105374203,492.070081211732,31.9340974312108,34.7722880496971,33.7091218099774,500.374424918244,478.868326753526,90.736,26.264,74.7784379091104,75.7177691744264,75.8444730942476,250.5
F090,Bminus,R,117,34.7031394348759,21.5254571250876,44.1256755069651,,98.6444444444444,87.157264957265,78.6119658119658,11.4871794871795,1.41025641025641,10.8854700854701,86.4393162393163,3.371,51.5107687836666,3.34891021617725,13.2154506043292,1.4289610711112,0.870184592855934,3.97951206991819,0.00170940170940171,-0.0283160783155293,0.0948132729574368,0.0954951516516959,-0.0418357175410431,543.348764569311,39.7492279895132,583.236753118236,36.2031927550631,34.0905319167153,38.1453408481804,581.316293407006,569.08479119627,91.976,25.024,74.8713589015032,75.4103578277319,75.4345874474084,250.5
F090,Bminus,T,117,31.6726450406546,20.6144130447005,42.5645525951652,,97.7282051282051,84.9299145299145,76.3521367521368,12.7982905982906,2.17606837606838,11.6376068376068,83.8358974358974,3.187,53.8966709937001,3.53687142161238,14.8055470760328,2.22675265820039,0.928471827008236,4.46241005596861,0.00170940170940171,-0.0293028617629739,0.0963536583603826,0.0974222246923541,-0.0436447082569088,456.220570320163,40.6690148390678,491.070177604909,31.9340974312108,34.7722880496971,33.7091218099774,497.49675780937,478.868326753526,89.332,27.668,74.8170041091915,75.539591676843,75.7059490082859,250.5
F090,D1,R,117,35.8404778101593,21.5253586323487,49.6316298733657,,98.6991452991453,87.617094017094,80.2717948717949,11.0820512820513,0.998290598290598,8.85470085470086,87.1128205128205,3.455,50.4153340978264,1.56290007390031,11.259459992934,1.01091076136368,0.30670289649095,3.50000915894233,0.00170940170940171,-0.0273490846685732,0.094251505470798,0.0951823318215302,-0.0359994352513292,546.264844179222,40.2197617264477,587.34025310859,36.2031927550631,34.0905319167153,38.1453408481804,577.894412431361,569.08479119627,93.918,23.082,74.8605976407933,75.4779505310912,75.5263699272481,250.5
F090,D1,T,117,31.7598271190869,20.6144130447005,47.2650312067511,,97.791452991453,85.1418803418803,77.6547008547009,12.6495726495727,1.85470085470085,9.9008547008547,84.225641025641,3.272,52.7588510176839,1.99718827849149,13.6481597576333,1.89664906078808,0.404528030373311,4.25471034509711,0.00170940170940171,-0.0287964111658133,0.0959801816895483,0.0973682604132156,-0.0397490607772456,457.940106958395,41.0610479470494,493.64681862237,31.9340974312108,34.7722880496971,33.7091218099774,496.021693219686,478.868326753526,90.856,26.144,74.7848867736155,75.7000485050241,75.8489654961016,250.5
F090,D2,R,117,35.8404778101593,21.5253586323487,51.1896580719775,,98.6991452991453,87.3931623931624,80.5709401709402,11.3059829059829,0.98974358974359,8.34529914529915,86.9042735042735,3.451,50.3638410180145,1.45257333963688,11.227553531577,1.00220116228601,0.275508018865098,3.50000915894233,0.00170940170940171,-0.0273524805867588,0.0942379333827642,0.0951947999621697,-0.035815103039934,546.382229345389,40.2528029076068,587.544501197051,36.2031927550631,34.0905319167153,38.1453408481804,578.487812511021,569.08479119627,94.268,22.732,74.8607147692925,75.4931513531814,75.5455959123785,250.5
F090,D2,T,117,31.7598271190869,20.6144130447005,47.7092001623142,,97.791452991453,85.0393162393162,77.8615384615385,12.7521367521368,1.85299145299145,9.5982905982906,84.1282051282051,3.283,52.6908267638986,1.93427091541211,13.6366207121522,1.8948328354421,0.382083023987894,4.25471034509711,0.00170940170940171,-0.0287904682430165,0.0959728174356731,0.0973794154224166,-0.039649973454191,457.993901500332,41.0825522234683,493.751780176495,31.9340974312108,34.7722880496971,33.7091218099774,496.459174770878,478.868326753526,91.098,25.902,74.7833705590816,75.7103807103557,75.8321419533865,250.5
F090,D3,R,117,35.8338237263635,21.5363423908168,51.1896580719775,,99.1623931623932,89.5589743589744,82.2188034188034,9.6034188034188,0.666666666666667,8.26324786324786,89.2495726495727,3.662,47.9762926888145,1.02978347305122,7.70490406067348,0.672375536234282,0.19968642358356,2.6209363269877,0.00170940170940171,-0.0256356958821113,0.0931576428480528,0.0939771375116246,-0.0312125325049628,548.876898597071,40.1030059592029,589.846390763824,36.2034694478473,34.0887928144387,38.1454808805142,571.79296684379,569.08479119627,96.196,20.804,74.8987720194336,75.3644194709348,75.4038307375942,250.5
F090,D3,T,117,33.0360669571813,20.6162021482409,47.7092001623142,,98.408547008547,87.2205128205128,79.8752136752137,11.1880341880342,1.35384615384615,8.95555555555556,86.5452991452992,3.509,49.8847622900235,1.26294742341594,10.6815996621111,1.3755078495247,0.246199633579924,3.87843289523243,0.00170940170940171,-0.0270788591459166,0.0950824509128023,0.0964562848717677,-0.0345710355618418,460.213304971206,41.0369009510569,495.976883949091,31.9342457061068,34.77200561016,33.7092448990142,490.288368728963,478.868326753526,93.454,23.546,74.812574759784,75.6945303558026,75.869727680866,250.5
