schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
D2,F090,500,-0.00289026170640445,-0.0030213102576614,-0.0027592131551475,-0.600000000000001,3,-1.27758945022669,0.077589450226693
D2,KE110,500,-0.00305031686821202,-0.00318631894721268,-0.00291431478921136,-0.2,1,-0.591992796908011,0.191992796908011
D2,S00,500,-0.00334175768604718,-0.00348507401575386,-0.00319844135634051,0,0,0,0
