scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,n_reliable,n_dropout,wt_retained_mean,wt_dropout_mean,wt_dropout_median,trial
F090,B0,R,117,34.4552354974747,21.2074069936756,49.3014045574274,,98.3709401709402,86.9128205128205,80.7880341880342,11.4581196581197,1.14017094017094,8.08205128205128,86.3367521367522,3.298,52.3810141602855,2.76325013414749,12.0069731542503,1.15934009434827,0.681401162673423,3.59342909499212,0,-0.0275655502407344,0.0947594803316254,0.0955389497810318,-0.0386064452111928,538.793741552972,39.9589392479786,578.874875953394,36.2812942010385,34.0593881851356,38.2222052082558,579.740247208928,562.646629405726,94.522,22.478,74.8394215367752,75.5898774647484,75.790832957484,250.5
F090,B0,T,117,30.4746792644635,20.5251496576229,45.7883703732241,,97.3880341880342,84.5299145299145,77.4632478632479,12.8581196581197,1.8957264957265,9.72649572649573,83.5452991452991,3.125,55.2457144152056,3.1534855617382,13.8999723575,1.94642133584464,0.799547662644265,4.2812637360744,0,-0.0285634047051508,0.0960260732933951,0.0972155006378279,-0.0417275731401752,452.084622661798,40.7977016061921,486.948269248293,31.9424824221393,34.8251285511907,33.72183019323,495.695338692369,473.854976623431,90.632,26.368,74.7528925218326,75.7985908931522,76.0226588886442,250.5
F090,D2,R,117,35.2916702944497,21.2074069936756,50.7454725268889,,98.4188034188034,87.140170940171,80.7692307692308,11.2786324786325,1.04957264957265,8.02393162393162,86.6068376068376,3.447,50.7450314228689,1.48290500846266,11.1845900037829,1.06665201603076,0.2879696417482,3.5626070377733,0,-0.0267379624284223,0.0944025776840972,0.0954191795532745,-0.035310629170671,540.541143607405,40.1628061710684,581.122346644023,36.2813068540254,34.0593975555489,38.2222190522793,573.816454546132,562.646629405726,94.5,22.5,74.8523339245251,75.5659272287742,75.6747449988216,250.5
F090,D2,T,117,30.4909682326336,20.5251496576229,47.2215650336182,,97.4307692307692,84.6888888888889,77.7401709401709,12.7418803418803,1.81196581196581,9.28547008547009,83.7504273504274,3.222,53.6496998515134,1.97805303445674,13.4326111468987,1.8594973897193,0.403871811120332,4.27293272025422,0,-0.0279315344542144,0.0958088272482273,0.0972618630944234,-0.0390671777199339,453.205782022714,41.0043046009601,488.503225075964,31.9424824221393,34.8251285511907,33.72183019323,492.018092228356,473.854976623431,90.956,26.044,74.7740455107235,75.7611017270866,75.9716073510634,250.5
KE110,B0,R,117,34.4552354974747,21.2074069936756,49.3014045574274,,98.3709401709402,86.9128205128205,80.7880341880342,11.4581196581197,1.14017094017094,8.08205128205128,86.3367521367522,3.298,52.3810141602855,2.76325013414749,12.0069731542503,1.15934009434827,0.681401162673423,3.59342909499212,0,-0.0275655502407344,0.0947594803316254,0.0955389497810318,-0.0386064452111928,538.793741552972,39.9589392479786,578.874875953394,36.2812942010385,34.0593881851356,38.2222052082558,579.740247208928,562.646629405726,94.522,22.478,74.8394215367752,75.5898774647484,75.790832957484,250.5
KE110,B0,T,117,33.2089260889553,20.7433687849369,47.7724070291841,,98.2,86.7675213675214,80.6017094017094,11.4324786324786,1.32820512820513,8.2,86.0786324786325,3.261,53.3549006194935,2.82380254445077,12.2261253500746,1.35214514954727,0.710181096567713,3.78226965647352,0,-0.0276047506191346,0.0952459625195103,0.0961741196997604,-0.0390182179481532,510.190303953409,39.9310150092385,548.200880249108,35.5269189043315,34.2126221557751,37.4485405043261,550.54922253646,533.277482007828,94.304,22.696,74.7998690146981,75.7744972759009,75.91485777733,250.5
KE110,D2,R,117,35.2916702944497,21.2074069936756,50.7454725268889,,98.4188034188034,87.140170940171,80.7692307692308,11.2786324786325,1.04957264957265,8.02393162393162,86.6068376068376,3.447,50.7450314228689,1.48290500846266,11.1845900037829,1.06665201603076,0.2879696417482,3.5626070377733,0,-0.0267379624284223,0.0944025776840972,0.0954191795532745,-0.035310629170671,540.541143607405,40.1628061710684,581.122346644023,36.2813068540254,34.0593975555489,38.2222190522793,573.816454546132,562.646629405726,94.5,22.5,74.8523339245251,75.5659272287742,75.6747449988216,250.5
KE110,D2,T,117,33.4496984109022,20.7433687849369,49.0219754019521,,98.2444444444445,86.8752136752137,80.6854700854701,11.3692307692308,1.25811965811966,7.88547008547009,86.2307692307692,3.374,51.7650731824245,1.65070520045483,11.7000552486439,1.28017589435531,0.327326707230451,3.77063198679392,0,-0.0269515948204676,0.0949903079843321,0.0961369711705721,-0.0361834471010159,511.60426829259,40.1324970216832,550.083602681849,35.5269189043315,34.2126221557751,37.4485405043261,545.532958619279,533.277482007828,94.402,22.598,74.8252600813132,75.6568288306884,75.8494491935886,250.5
S00,B0,R,117,34.4552354974747,21.2074069936756,49.3014045574274,,98.3709401709402,86.9128205128205,80.7880341880342,11.4581196581197,1.14017094017094,8.08205128205128,86.3367521367522,3.298,52.3810141602855,2.76325013414749,12.0069731542503,1.15934009434827,0.681401162673423,3.59342909499212,0,-0.0275655502407344,0.0947594803316254,0.0955389497810318,-0.0386064452111928,538.793741552972,39.9589392479786,578.874875953394,36.2812942010385,34.0593881851356,38.2222052082558,579.740247208928,562.646629405726,94.522,22.478,74.8394215367752,75.5898774647484,75.790832957484,250.5
S00,B0,T,117,34.4923005642779,21.0998301219393,49.4470127271105,,98.3863247863248,86.9589743589744,80.8495726495727,11.4273504273504,1.15213675213675,8.0034188034188,86.3692307692308,3.28,52.6649275362351,2.7741478299241,11.9363894546517,1.17074980385619,0.680808536112858,3.60437804791141,0,-0.0267669556203638,0.0946286268033111,0.0954883574826243,-0.0377580980817623,538.059358248587,39.8489450491211,577.9677041109,36.1876029425188,33.9101667826699,38.1121618625248,578.845010249004,561.622954835902,94.594,22.406,74.804851082204,75.7427672937894,75.9470750369074,250.5
