schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
Bminus,F090,500,0.00617039584085374,0.00600706846031772,0.00633372322138976,0.800000000000001,4,0.0183746290827722,1.58162537091723
D1,F090,500,-0.00294134615302214,-0.00306897057089396,-0.00281372173515032,-0.600000000000001,3,-1.27758945022669,0.077589450226693
D2,F090,500,-0.00344778776609638,-0.00358956463111812,-0.00330601090107464,-0.2,1,-0.591992796908011,0.191992796908011
D3,F090,500,-9.8561304114954e-05,-0.000315155735963603,0.000118033127733695,-0.2,1,-0.591992796908011,0.191992796908011
D4,F090,500,-0.00298536490206351,-0.00312294575681655,-0.00284778404731047,-0.600000000000001,3,-1.27758945022669,0.077589450226693
Bminus,KE110,500,0.00704753286262417,0.0068804274221252,0.00721463830312314,0.4,2,-0.153805778693158,0.953805778693159
D1,KE110,500,-0.0028820733029805,-0.00301158832331788,-0.00275255828264312,0,0,0,0
D2,KE110,500,-0.00348207504441174,-0.00362620834296368,-0.0033379417458598,-0.600000000000001,3,-1.27758945022669,0.077589450226693
D3,KE110,500,0.000689744766722903,0.000468924921482115,0.00091056461196369,-0.2,1,-0.591992796908011,0.191992796908011
D4,KE110,500,-0.00300265239458581,-0.00313896666417514,-0.00286633812499648,-0.4,2,-0.953805778693159,0.153805778693158
Bminus,S00,500,0.00849195157075246,0.00831121676359838,0.00867268637790654,0,0,0,0
D1,S00,500,-0.0029192642477961,-0.00305311117691814,-0.00278541731867407,-0.2,1,-0.591992796908011,0.191992796908011
D2,S00,500,-0.00371589924818757,-0.00386433743749957,-0.00356746105887558,0,0,0,0
D3,S00,500,0.00107632193736735,0.000849319024272468,0.00130332485046224,-0.2,1,-0.591992796908011,0.191992796908011
D4,S00,500,-0.00307878840239466,-0.00321728539822974,-0.00294029140655957,-0.2,1,-0.591992796908011,0.191992796908011
Bminus,VM125,500,0.00397284568314173,0.00382153548935353,0.00412415587692994,2.4,12,1.05714738910484,3.74285261089516
D1,VM125,500,-0.00229971989919437,-0.00242613143119598,-0.00217330836719275,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
D2,VM125,500,-0.00255576322892809,-0.00270096189487404,-0.00241056456298214,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
D3,VM125,500,-0.000899667131939843,-0.0011078918448139,-0.000691442419065784,-1,7,-2.03443979211939,0.0344397921193897
D4,VM125,500,-0.00230793422324785,-0.00243850365339584,-0.00217736479309986,-1.4,7,-2.43086143677066,-0.369138563229337
