scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,n_reliable,n_dropout,wt_retained_mean,wt_dropout_mean,wt_dropout_median,trial
F090,B0,R,117,35.4443721030289,24.3211184751881,52.515434030108,,99.3247863247863,92.1880341880342,83.7008547008547,7.13675213675214,0.733333333333333,9.19145299145299,91.6461538461539,3.156,54.7093566395,2.9301223584007,11.6361528219389,0.738357238623591,0.643715953571991,3.49738466767061,0,-0.023774800180145,0.0571518685469842,0.0584884417640348,-0.0342883650027824,584.151692560496,42.88851199573,633.584068260304,32.929281731756,34.0090035810331,34.6977649869563,625.171896515207,605.819534608747,97.93,19.07,74.8646198172536,75.5820239627695,75.6035171127382,250.5
F090,B0,T,117,34.6777851528144,21.2737864220585,49.5295896982793,,98.9299145299145,90.9692307692308,81.4820512820513,7.96068376068376,1.32991452991453,10.5641025641026,89.9794871794872,3.082,56.3013479206366,3.32715658050064,13.2593590722805,1.3440291163841,0.74040201052419,4.1137555213065,0,-0.0249568222660758,0.0581504849710802,0.060016842413165,-0.0371270699412282,490.76601346719,44.1659014733075,534.512245675086,29.0838062965987,34.6683344927815,30.7012315833265,534.019439393978,510.489706703305,95.334,21.666,74.8368889623553,75.6529368803965,75.7369672692901,250.5
F090,Bminus,R,117,35.44421255094,24.3211184751881,49.5008262810381,,99.3230769230769,93.2017094017094,80.4854700854701,6.12136752136752,0.923076923076923,13.5794871794872,92.4991452991453,3.15,54.8418314821785,3.82007199668207,13.0496219348722,0.929449027412058,0.927040318364898,4.15550346075062,0,-0.0238876231244371,0.057338368325534,0.0585736957732658,-0.0377197530463258,582.258759750117,42.4848942540924,630.550508516455,32.929281731756,34.0090035810331,34.6977649869563,618.92096385657,605.819534608747,94.168,22.832,74.9287283115767,75.1982366853264,75.1672675435831,250.5
F090,Bminus,T,117,34.6769543187022,21.2737864220585,44.1214743436709,,98.9196581196581,91.7145299145299,79.140170940171,7.20512820512821,1.50769230769231,13.7589743589744,90.5794871794872,3.081,56.1603676980772,4.00819161476421,14.0658189063544,1.52393770579379,0.954046999551433,4.46343053935802,0,-0.0249712368821963,0.0582615797482836,0.0599942340539723,-0.0393836180652231,489.730446743309,43.8595481113505,532.700795812363,29.0838062965987,34.6683344927815,30.7012315833265,528.532509276798,510.489706703305,92.594,24.406,74.8801396339765,75.3963378040467,75.4077075742199,250.5
F090,D1,R,117,37.8610026987819,24.320997575433,52.4519368911499,,99.3435897435898,92.0324786324786,80.7777777777778,7.31111111111111,0.712820512820513,11.8034188034188,91.4923076923077,3.273,53.2122551627701,1.41426168641681,11.0643668702794,0.717501620548688,0.268650161526312,3.43656883830132,0,-0.0225033422114371,0.0568791353973167,0.0585437568605386,-0.0301842123335658,586.445653311668,43.0372217059289,636.308290534759,32.929281731756,34.0090035810331,34.6977649869563,611.411113707149,605.819534608747,94.51,22.49,74.9337114701136,75.1805518629499,75.2035650398799,250.5
F090,D1,T,117,35.8019290095372,21.2737864220585,49.5180321850678,,98.9367521367521,90.5282051282051,79.565811965812,8.40854700854701,1.30769230769231,11.9094017094017,89.5606837606838,3.151,54.7461762871754,1.72758137072541,12.9804902498563,1.32152196867053,0.325226127323542,4.09826161337861,0,-0.0241475331451002,0.0579491144350803,0.0602845589210405,-0.0336445249145742,492.439315735607,44.3726119580079,536.678538389206,29.0838062965987,34.6683344927815,30.7012315833265,524.231090963511,510.489706703305,93.092,23.908,74.8937525128797,75.3674845339913,75.301197037877,250.5
F090,D2,R,117,37.8610026987819,24.320997575433,53.7057621263329,,99.3435897435898,91.6957264957265,81.5675213675214,7.64786324786325,0.711111111111111,10.6786324786325,91.157264957265,3.254,52.9247832090547,1.26464796747733,11.0432337967917,0.715777482617654,0.230142344754967,3.43636182946521,0,-0.0224534592154987,0.0568702858409548,0.0585954127021342,-0.029771754688491,586.642422937185,43.083918776143,636.641042490332,32.929281731756,34.0090035810331,34.6977649869563,613.048534999814,605.819534608747,95.434,21.566,74.9239205505448,75.2244568932454,75.2591701240352,250.5
F090,D2,T,117,35.8019290095372,21.2737864220585,50.9291343953028,,98.9367521367521,90.2888888888889,80.0700854700855,8.64786324786325,1.30940170940171,11.165811965812,89.3196581196581,3.158,54.6340890424113,1.6186249800768,12.9769792395388,1.32324610660157,0.294316479013016,4.09826161337861,0,-0.0241237035957463,0.0579434024010573,0.060325179891491,-0.0333953831394456,492.539808226526,44.4055624293808,536.865639613625,29.0838062965987,34.6683344927815,30.7012315833265,525.595979256298,510.489706703305,93.682,23.318,74.8823124104183,75.4226388775453,75.4163607556326,250.5
F090,D3,R,117,37.8575379427588,24.5062256366339,53.7057621263329,,99.6051282051282,93.4461538461539,82.0427350427351,6.15897435897436,0.524786324786325,11.7162393162393,93.0529914529914,3.34,52.0828851363792,0.965443660229466,6.98693842462049,0.526855054254249,0.187972091878786,2.06345363547028,0,-0.0206197223366832,0.0560262725002813,0.057327688813292,-0.0253220820940274,589.281780805115,42.8581868476953,638.938176379747,32.9294091882199,34.0082516996846,34.6978361100207,606.624348419093,605.819534608747,95.99,21.01,74.951569252734,75.1134949082008,75.1744080145737,250.5
F090,D3,T,117,35.7911080637034,21.2809683680063,50.9291343953028,,99.2923076923077,92.1076923076923,81.0034188034188,7.18461538461539,1.04444444444444,11.6888888888889,91.3367521367521,3.234,53.3682202493274,1.14145536441153,9.71055972264188,1.05166503840385,0.216328654863479,3.23287207224533,0,-0.0221561038634474,0.0572728075988022,0.0593504603354684,-0.0281007423349518,495.01673317934,44.263869802457,539.191172565984,29.0838478983283,34.6683217729248,30.7012721444408,518.977472456653,510.489706703305,94.774,22.226,74.9047333484795,75.3745140349451,75.4462896208111,250.5
