schedule,base,base_lo,base_hi,noresid,noresid_lo,noresid_hi,base_widened,noresid_widened,cause
Bminus,0.00661397271653873,0.00643256579076947,0.00679537964230799,0.00735715920266656,0.00720171404251345,0.00751260436281967,FALSE,FALSE,해당 없음(확대 아님)
D1,-0.00356043219542672,-0.00372352918528341,-0.00339733520557003,-0.00433494504029102,-0.00441562226209183,-0.00425426781849021,TRUE,TRUE,tlast 연장에 따른 꼬리 면적 이질성
D2,-0.0040547145989572,-0.00423354458890323,-0.00387588460901116,-0.00515210955670978,-0.00523066820212977,-0.00507355091128979,TRUE,TRUE,tlast 연장에 따른 꼬리 면적 이질성
D3,-0.000611774857565503,-0.000897818668485463,-0.000325731046645544,-0.00182948366896758,-0.00196650281686357,-0.00169246452107159,TRUE,TRUE,tlast 연장에 따른 꼬리 면적 이질성
D4,-0.00366384737499296,-0.00381882654308942,-0.0035088682068965,-0.00438287847588609,-0.00446842135105201,-0.00429733560072016,TRUE,TRUE,tlast 연장에 따른 꼬리 면적 이질성
