scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,n_reliable,n_dropout,wt_retained_mean,wt_dropout_mean,wt_dropout_median,trial
S00,B0,R,117,34.6734027900295,21.4506058911562,49.4834078316061,,99.957264957265,96.7025641025641,86.7316239316239,3.25470085470085,0.229059829059829,9.97094017094017,96.4735042735043,3.144,54.9670645446508,3.21632541127396,10.0988454528807,0.229074565281462,0.690934232982372,3.54303923577282,0,-0.0191335845681599,0.0074815749926956,0.0142817510440995,-0.0286200331855421,551.301649657434,38.731532333033,589.914862220187,31.2667744677498,31.0344563921344,32.650526969224,576.487642553501,569.08479119627,101.476,15.524,74.9453608421586,75.2556995269503,75.2177154660663,250.5
S00,B0,T,117,34.6653825875679,21.4199730441621,49.6804049213972,,99.9641025641026,96.5367521367521,86.6752136752137,3.42735042735043,0.237606837606838,9.86153846153846,96.2991452991453,3.158,54.7629678750369,3.17989858219562,10.0871360817769,0.237709991158267,0.679762164077986,3.52306489620487,0,-0.0191865207590274,0.00752437039697292,0.0142038791840389,-0.0285609031044204,550.651057778027,38.591203884847,589.088855266373,31.2065386015797,30.9026089893726,32.5795489223834,575.65559609902,568.382389122473,101.41,15.59,74.9587219306513,75.1562689943922,75.3153382982499,250.5
S00,Bminus,R,117,34.6734027900295,21.4506058911562,43.6927102157175,,99.957264957265,97.417094017094,83.8529914529915,2.54017094017094,0.241025641025641,13.5641025641026,97.1760683760684,3.142,54.9944886531094,3.83689284370622,10.9296504309409,0.241055113468907,0.88460846883292,3.98449469892691,0,-0.0192713094824922,0.00763576423188686,0.0139557249170418,-0.0305886181978096,550.132498742903,38.4234658201687,587.97544173905,31.2667744677498,31.0344563921344,32.650526969224,571.101241277659,569.08479119627,98.108,18.892,75.009102371723,74.8532013438505,74.726376557761,250.5
S00,Bminus,T,117,34.6653825875679,21.4199730441621,44.0958911255086,,99.9641025641026,97.3145299145299,83.7589743589744,2.64957264957265,0.241025641025641,13.5555555555556,97.0735042735043,3.159,54.9818891836133,3.78718364379355,10.9096603246135,0.24112879457707,0.872185167886341,3.97599429502375,0,-0.0193400776527152,0.00768677094974297,0.0138758164921971,-0.0305701832809381,549.485360102051,38.2903509595227,587.172666981508,31.2065386015797,30.9026089893726,32.5795489223834,570.580544583086,568.382389122473,97.998,19.002,74.9993732749894,74.9238740742021,74.9570375772559,250.5
S00,D1,R,117,35.7501749224411,21.4506058911562,49.5432850927373,,99.957264957265,96.2239316239316,80.3008547008547,3.73333333333333,0.229059829059829,15.9230769230769,95.9948717948718,3.12,55.6149867374005,1.64061698778671,9.96761917607353,0.229074565281462,0.314207131950731,3.50570123387513,0,-0.0186028628901408,0.00798749838437205,0.0159008577295838,-0.0240927943471665,553.050479692917,38.9111824688311,592.09287409975,31.2667744677498,31.0344563921344,32.650526969224,554.415782031031,569.08479119627,93.952,23.048,75.0903865914239,74.5622664042757,74.5345931963478,250.5
S00,D1,T,117,35.7729667478763,21.4199730441621,49.73551601927,,99.9641025641026,96.1470085470086,80.5384615384615,3.81709401709402,0.237606837606838,15.608547008547,95.9094017094017,3.11,55.5824049513705,1.61581103629062,9.96807956875391,0.237709991158267,0.307617257036487,3.49366615179993,0,-0.0186360903126028,0.00803926574257143,0.0158345878950129,-0.023971337042484,552.394726206877,38.7704275884768,591.260100633934,31.2065386015797,30.9026089893726,32.5795489223834,554.251599269497,568.382389122473,94.23,22.77,75.1138088623639,74.4588841503448,74.4839558346459,250.5
S00,D2,R,117,35.7501749224411,21.4506058911562,51.1033106817571,,99.957264957265,96.0153846153846,81.6444444444445,3.94188034188034,0.229059829059829,14.3709401709402,95.7863247863248,3.182,54.4828470380195,1.52815613624015,9.95493486152184,0.229074565281462,0.282655900079072,3.50570123387513,0,-0.0186017876942953,0.00802652378979091,0.0160946298788208,-0.0240418196837125,553.169829066216,38.9460404869032,592.3026366671,31.2667744677498,31.0344563921344,32.650526969224,558.580907584329,569.08479119627,95.524,21.476,75.0419125731362,74.7445743670813,74.7788970007954,250.5
S00,D2,T,117,35.7729667478763,21.4199730441621,51.1322316074459,,99.9641025641026,95.9128205128205,81.825641025641,4.05128205128205,0.237606837606838,14.0871794871795,95.6752136752137,3.177,54.4673887415267,1.51263605577304,9.96160975660789,0.237709991158267,0.278735508302016,3.49366615179993,0,-0.0186343720046964,0.00808208357071885,0.0160228946879577,-0.0239202942693788,552.510081092573,38.8038784029198,591.462064224093,31.2065386015797,30.9026089893726,32.5795489223834,558.11630120548,568.382389122473,95.736,21.264,75.0820135595964,74.5554210758312,74.5088532978811,250.5
S00,D3,R,117,35.7560935851643,21.4610277935654,51.1033106817571,,99.9589743589744,96.4700854700855,77.1897435897436,3.48888888888889,0.211965811965812,19.2803418803419,96.2581196581197,3.018,59.5696139109932,1.03764153706546,7.52756621034587,0.211980548187445,0.203707985931227,2.65467031548036,0,-0.0164866438754781,0.00810893787191393,0.0150126076888108,-0.019436924668478,555.63318398148,38.8093386975545,594.602420825601,31.2667744677498,31.0344563921344,32.650526969224,551.499518771908,569.08479119627,90.312,26.688,75.0882976270617,74.6227373816468,74.5919871314961,250.5
S00,D3,T,117,35.7790084691532,21.425119017536,51.1322316074459,,99.9675213675214,96.4769230769231,77.417094017094,3.49059829059829,0.222222222222222,19.0598290598291,96.2547008547009,3.02,60.0070144414972,1.03069579947956,7.51769771058711,0.222295903330386,0.202592339658115,2.62941279865782,0,-0.0164954129888169,0.00817346498453633,0.0149488594200788,-0.0194176120436615,554.950741865774,38.6691371804557,593.740612982173,31.2065386015797,30.9026089893726,32.5795489223834,551.268176105853,568.382389122473,90.578,26.422,75.0883596125942,74.6166101476835,74.5457860107369,250.5
