pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_Ci,10000,383,3.83,3.47122838542385,4.22423002412443,10000,383,3.83,3.47122838542385,4.22423002412443,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_Cii,10000,359,3.59,3.24282272507022,3.97282000369598,10000,359,3.59,3.24282272507022,3.97282000369598,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,P2,10000,324,3.24,2.91052689302443,3.60538463460124,10000,324,3.24,2.91052689302443,3.60538463460124,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUCinf_true_only,10000,482,4.82,4.41726929166224,5.2574288011121,10000,482,4.82,4.41726929166224,5.2574288011121,nominal,nominal
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,AUClast_only,10000,371,3.71,3.35697349886415,4.09857707029309,10000,371,3.71,3.35697349886415,4.09857707029309,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,F3A,10000,295,2.95,2.63600659501067,3.30012765167,10000,295,2.95,2.63600659501067,3.30012765167,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,F3B,10000,347,3.47,3.1287811116642,3.84695377671097,10000,347,3.47,3.1287811116642,3.84695377671097,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,F3C,10000,350,3.5,3.1572809892696,3.87843085920333,10000,350,3.5,3.1572809892696,3.87843085920333,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_Ai,10000,671,6.71,6.23606232543102,7.21718425350216,10000,671,6.71,6.23606232543102,7.21718425350216,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_Aii,10000,770,7.7,7.1935813653737,8.23890489678554,10000,770,7.7,7.1935813653737,8.23890489678554,exceeding,exceeding
