pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2020,F_down_080,G2_B,M2 minus M0,0.53,0.290969576404154,0.769030423595846,10000,101,48
k2020,F_down_080,G2_Ci,M2 minus M0,0.38,0.141664521606773,0.618335478393227,10000,93,55
k2020,F_down_080,G2_Cii,M2 minus M0,0.48,0.265492191291085,0.694507808708915,10000,84,36
k2020,F_down_080,P2,M2 minus M0,0.45,0.2436831077333,0.6563168922667,10000,78,33
k2020,F_up_125,AUCinf_true_only,M2 minus M0,0.31,0.0927035461629531,0.527296453837047,10000,77,46
k2020,F_up_125,AUClast_only,M2 minus M0,0.41,0.203651081964246,0.616348918035754,10000,76,35
k2020,F_up_125,F3A,M2 minus M0,0.36,0.164120854186564,0.555879145813436,10000,68,32
k2020,F_up_125,F3B,M2 minus M0,0.39,0.187393766825064,0.592606233174936,10000,73,34
k2020,F_up_125,F3C,M2 minus M0,0.49,0.287477217323846,0.692522782676154,10000,78,29
k2020,F_up_125,G2_Ai,M2 minus M0,0.49,0.235373009808742,0.744626990191258,10000,109,60
k2020,F_up_125,G2_Aii,M2 minus M0,0.41,0.112204781713235,0.707795218286765,10000,136,95
k2020,F_up_125,G2_B,M2 minus M0,0.48,0.238530545175827,0.721469454824173,10000,100,52
k2020,F_up_125,G2_Ci,M2 minus M0,0.36,0.154548101080579,0.565451898919421,10000,73,37
k2020,F_up_125,G2_Cii,M2 minus M0,0.4,0.17838294069307,0.62161705930693,10000,84,44
k2020,F_up_125,P2,M2 minus M0,0.42,0.214591862516762,0.625408137483238,10000,76,34
k2020,V2_up_080,AUCinf_true_only,M2 minus M0,0.38,0.227637763060933,0.532362236939067,20000,159,83
k2020,V2_up_080,AUClast_only,M2 minus M0,0.575,0.410330109464651,0.739669890535349,20000,199,84
k2020,V2_up_080,F3A,M2 minus M0,0.19,0.0981049630978578,0.281895036902142,20000,63,25
k2020,V2_up_080,F3B,M2 minus M0,0.42,0.276086722236878,0.563913277763122,20000,150,66
k2020,V2_up_080,F3C,M2 minus M0,0.51,0.348527818271906,0.671472181728094,20000,187,85
k2020,V2_up_080,G2_Ai,M2 minus M0,0.4,0.262911137510567,0.537088862489433,20000,138,58
k2020,V2_up_080,G2_Aii,M2 minus M0,0.24,0.142055815366624,0.337944184633376,20000,74,26
k2020,V2_up_080,G2_B,M2 minus M0,0.415,0.267459200695054,0.562540799304946,20000,155,72
k2020,V2_up_080,G2_Ci,M2 minus M0,0.475,0.31681203105361,0.63318796894639,20000,178,83
k2020,V2_up_080,G2_Cii,M2 minus M0,0.5,0.335574885642289,0.664425114357711,20000,191,91
k2020,V2_up_080,P2,M2 minus M0,0.565,0.400907708758831,0.729092291241169,20000,197,84
k2020,Vmax_down_125,AUCinf_true_only,M2 minus M0,0.3,0.0748828059012727,0.525117194098727,10000,81,51
k2020,Vmax_down_125,AUClast_only,M2 minus M0,0.32,0.140466881134472,0.499533118865528,10000,58,26
k2020,Vmax_down_125,F3A,M2 minus M0,0.31,0.127278589015476,0.492721410984524,10000,59,28
k2020,Vmax_down_125,F3B,M2 minus M0,0.33,0.151547039051937,0.508452960948063,10000,58,25
k2020,Vmax_down_125,F3C,M2 minus M0,0.3,0.120453614197027,0.479546385802973,10000,57,27
k2020,Vmax_down_125,G2_Ai,M2 minus M0,0.36,0.0514097923807012,0.668590207619299,10000,142,106
k2020,Vmax_down_125,G2_Aii,M2 minus M0,-0.23,-0.647151249281073,0.187151249281073,10000,215,238
k2020,Vmax_down_125,G2_B,M2 minus M0,0.27,0.019812002794087,0.520187997205913,10000,95,68
k2020,Vmax_down_125,G2_Ci,M2 minus M0,0.34,0.134535011863814,0.545464988136186,10000,72,38
k2020,Vmax_down_125,G2_Cii,M2 minus M0,0.43,0.207539353845971,0.652460646154029,10000,86,43
k2020,Vmax_down_125,P2,M2 minus M0,0.32,0.140466881134472,0.499533118865528,10000,58,26
k2020,Vmax_up_080,AUCinf_true_only,M2 minus M0,0.36,0.126538267834793,0.593461732165207,10000,89,53
k2020,Vmax_up_080,AUClast_only,M2 minus M0,0.38,0.182183614334017,0.577816385665983,10000,70,32
k2020,Vmax_up_080,F3A,M2 minus M0,0.43,0.233196598928567,0.626803401071433,10000,72,29
k2020,Vmax_up_080,F3B,M2 minus M0,0.38,0.182183614334017,0.577816385665983,10000,70,32
k2020,Vmax_up_080,F3C,M2 minus M0,0.35,0.153135702135622,0.546864297864378,10000,68,33
k2020,Vmax_up_080,G2_Ai,M2 minus M0,0.75,0.364690746770518,1.13530925322948,10000,231,156
k2020,Vmax_up_080,G2_Aii,M2 minus M0,0.49,0.0647253089064707,0.915274691093529,10000,260,211
k2020,Vmax_up_080,G2_B,M2 minus M0,0.75,0.430060779890421,1.06993922010958,10000,171,96
k2020,Vmax_up_080,G2_Ci,M2 minus M0,0.37,0.156305505619125,0.583694494380875,10000,78,41
k2020,Vmax_up_080,G2_Cii,M2 minus M0,0.33,0.131180621464807,0.528819378535193,10000,68,35
k2020,Vmax_up_080,P2,M2 minus M0,0.38,0.182183614334017,0.577816385665983,10000,70,32
k2020,ka_down_080,AUCinf_true_only,M2 minus M0,0.38,0.151540838102442,0.608459161897558,10000,87,49
k2020,ka_down_080,AUClast_only,M2 minus M0,0.39,0.159038567424517,0.620961432575483,10000,89,50
k2020,ka_down_080,F3A,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,F3B,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,F3C,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Ai,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Aii,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_B,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Ci,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,G2_Cii,M2 minus M0,0,0,0,10000,0,0
k2020,ka_down_080,P2,M2 minus M0,0,0,0,10000,0,0
k2020,ke_down_125,AUCinf_true_only,M2 minus M0,0.31,0.0676298742312912,0.552370125768709,10000,92,61
k2020,ke_down_125,AUClast_only,M2 minus M0,0.4,0.20026593239043,0.59973406760957,10000,72,32
k2020,ke_down_125,F3A,M2 minus M0,0.33,0.145201284977066,0.514798715022934,10000,61,28
k2020,ke_down_125,F3B,M2 minus M0,0.28,0.0860413925607112,0.473958607439289,10000,63,35
k2020,ke_down_125,F3C,M2 minus M0,0.33,0.135083586942704,0.524916413057296,10000,66,33
k2020,ke_down_125,G2_Ai,M2 minus M0,0.21,-0.0125821920926708,0.432582192092671,10000,75,54
k2020,ke_down_125,G2_Aii,M2 minus M0,0.28,-0.021060417306417,0.581060417306417,10000,132,104
k2020,ke_down_125,G2_B,M2 minus M0,0.2,-0.00924063392400321,0.409240633924003,10000,67,47
k2020,ke_down_125,G2_Ci,M2 minus M0,0.29,0.0798836401948526,0.500116359805148,10000,72,43
k2020,ke_down_125,G2_Cii,M2 minus M0,0.3,0.0871639812628239,0.512836018737176,10000,74,44
k2020,ke_down_125,P2,M2 minus M0,0.4,0.20026593239043,0.59973406760957,10000,72,32
k2020,ke_up_080,AUCinf_true_only,M2 minus M0,0.39,0.169244543144851,0.61075545685515,10000,83,44
k2020,ke_up_080,AUClast_only,M2 minus M0,0.36,0.156426636888327,0.563573363111673,10000,72,36
k2020,ke_up_080,F3A,M2 minus M0,0.35,0.163147896001571,0.536852103998429,10000,63,28
k2020,ke_up_080,F3B,M2 minus M0,0.3,0.0982849552812234,0.501715044718777,10000,68,38
k2020,ke_up_080,F3C,M2 minus M0,0.39,0.187393766825064,0.592606233174936,10000,73,34
k2020,ke_up_080,G2_Ai,M2 minus M0,0.56,0.32668971202648,0.793310287973521,10000,99,43
k2020,ke_up_080,G2_Aii,M2 minus M0,0.4,0.153748807128097,0.646251192871903,10000,99,59
k2020,ke_up_080,G2_B,M2 minus M0,0.35,0.117356659683513,0.582643340316488,10000,88,53
k2020,ke_up_080,G2_Ci,M2 minus M0,0.29,0.0744681219383942,0.505531878061606,10000,75,46
k2020,ke_up_080,G2_Cii,M2 minus M0,0.42,0.205443839637899,0.634556160362101,10000,81,39
k2020,ke_up_080,P2,M2 minus M0,0.36,0.156426636888327,0.563573363111673,10000,72,36
