pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2016,ka_down_080,G2_Aii,M1 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_B,M1 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Ci,M1 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Cii,M1 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,P2,M1 minus M0,0,0,0,10000,0,0
k2016,ke_down_125,AUCinf_true_only,M1 minus M0,0.45,0.3188112192235,0.5811887807765,10000,45,0
k2016,ke_down_125,AUClast_only,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2016,ke_down_125,F3A,M1 minus M0,0.34,0.213148398055682,0.466851601944318,10000,38,4
k2016,ke_down_125,F3B,M1 minus M0,0.29,0.181016499341362,0.398983500658638,10000,30,1
k2016,ke_down_125,F3C,M1 minus M0,0.39,0.267833092503031,0.512166907496969,10000,39,0
k2016,ke_down_125,G2_Ai,M1 minus M0,0.31,0.14967711323025,0.47032288676975,10000,49,18
k2016,ke_down_125,G2_Aii,M1 minus M0,0.32,0.100073008953969,0.539926991046031,10000,79,47
k2016,ke_down_125,G2_B,M1 minus M0,0.41,0.281721617017664,0.538278382982336,10000,42,1
k2016,ke_down_125,G2_Ci,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2016,ke_down_125,G2_Cii,M1 minus M0,0.46,0.327368237495728,0.592631762504272,10000,46,0
k2016,ke_down_125,P2,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2016,ke_up_080,AUCinf_true_only,M1 minus M0,0.45,0.3188112192235,0.5811887807765,10000,45,0
k2016,ke_up_080,AUClast_only,M1 minus M0,0.39,0.267833092503031,0.512166907496969,10000,39,0
k2016,ke_up_080,F3A,M1 minus M0,0.44,0.298921278906437,0.581078721093563,10000,48,4
k2016,ke_up_080,F3B,M1 minus M0,0.35,0.234244274695936,0.465755725304064,10000,35,0
k2016,ke_up_080,F3C,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,ke_up_080,G2_Ai,M1 minus M0,0.37,0.212141250791327,0.527858749208673,10000,51,14
k2016,ke_up_080,G2_Aii,M1 minus M0,0.51,0.296416280061246,0.723583719938754,10000,85,34
k2016,ke_up_080,G2_B,M1 minus M0,0.34,0.219357587417021,0.460642412582979,10000,36,2
k2016,ke_up_080,G2_Ci,M1 minus M0,0.38,0.259403452760921,0.500596547239079,10000,38,0
k2016,ke_up_080,G2_Cii,M1 minus M0,0.34,0.225904187141491,0.454095812858509,10000,34,0
k2016,ke_up_080,P2,M1 minus M0,0.39,0.267833092503031,0.512166907496969,10000,39,0
k2020,F_down_080,AUCinf_true_only,M1 minus M0,0.29,0.184600593859299,0.395399406140701,10000,29,0
k2020,F_down_080,AUClast_only,M1 minus M0,0.41,0.284752345572606,0.535247654427394,10000,41,0
k2020,F_down_080,F3A,M1 minus M0,0.36,0.239379880891972,0.480620119108028,10000,37,1
k2020,F_down_080,F3B,M1 minus M0,0.4,0.276282973961146,0.523717026038854,10000,40,0
k2020,F_down_080,F3C,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,F_down_080,G2_Ai,M1 minus M0,0.58,0.392341490874348,0.767658509125652,10000,75,17
k2020,F_down_080,G2_Aii,M1 minus M0,0.28,0.0920775809095908,0.467922419090409,10000,60,32
k2020,F_down_080,G2_B,M1 minus M0,0.41,0.284752345572606,0.535247654427394,10000,41,0
k2020,F_down_080,G2_Ci,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2020,F_down_080,G2_Cii,M1 minus M0,0.41,0.284752345572606,0.535247654427394,10000,41,0
k2020,F_down_080,P2,M1 minus M0,0.4,0.276282973961146,0.523717026038854,10000,40,0
k2020,F_up_125,AUCinf_true_only,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,F_up_125,AUClast_only,M1 minus M0,0.38,0.259403452760921,0.500596547239079,10000,38,0
k2020,F_up_125,F3A,M1 minus M0,0.37,0.238715200073514,0.501284799926486,10000,41,4
k2020,F_up_125,F3B,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2020,F_up_125,F3C,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
