pk_model,scenario,endpoint,analysis_model,n_trials,mean_log_gmr,sd_log_gmr,se_median,df_median,true_ratio,bias_log,bias_mc_se,sd_se_ratio,bias_lo,bias_hi,bias_pct,sd_se_lo,sd_se_hi,pred_pct,theory_boundary_pct,bias_dir
k2016,F097,AUCinf_A,M0,10000,-0.0451619549623069,0.0511258637159867,0.0518819065,185,0.952069739554753,0.0039550360767178,0.000511258637159867,0.985427621399893,0.00295298756109943,0.00495708459233617,0.396286755308872,0.971768780729571,0.999083861419461,96.4179886154375,,
k2016,F097,AUCinf_A,M1,10000,-0.0453353955012552,0.0508267260196609,0.0504545055,184,0.952069739554753,0.00378159553776955,0.000508267260196609,1.00737734947498,0.00278541001326335,0.00477778106227575,0.37887547917983,0.993414267445858,1.02133777292563,96.8226482571215,,
k2016,F097,AUCinf_A,M2,10000,-0.0454134984194479,0.0501839830176473,0.049813075,184,0.952069739554753,0.00370349261957687,0.000501839830176473,1.00744599721353,0.00271990462642329,0.00468708061273046,0.37103590223091,0.993481963670054,1.02140737199736,97.1220064320509,,
k2016,F097,AUCinf_Ai,M0,10000,-0.045923930633025,0.0498571640009727,0.050619184,199,0.952069739554753,0.00319306040599972,0.000498571640009727,0.984946023645356,0.00221587794786759,0.00417024286413186,0.31981636535916,0.97129385831765,0.998595589593297,96.962327332966,,
k2016,F097,AUCinf_Ai,M1,10000,-0.0460384528167005,0.0495961646254285,0.0492043315,198,0.952069739554753,0.00307853822232428,0.000495961646254285,1.00796338682964,0.00210647125795268,0.00405060518669587,0.308328178761741,0.993992181838793,1.0219319316954,97.3208105030019,,
k2016,F097,AUCinf_Ai,M2,10000,-0.0460848043986424,0.0489085512186649,0.0485490965,198,0.952069739554753,0.00303218664038238,0.000489085512186649,1.00740394249489,0.00207359665113622,0.00399077662962854,0.303678836821719,0.99344049186455,1.02136473447657,97.6079049924598,,
k2016,F097,AUCinf_B,M0,10000,-0.0467265799072125,0.0467668507284671,0.0482100895,229,0.952069739554753,0.00239041113181229,0.000467668507284671,0.970063553366088,0.00147379770083072,0.00330702456279385,0.239327044235727,0.956617671367478,0.983506875261392,98.07390565733,,
k2016,F097,AUCinf_B,M1,10000,-0.0467797203154599,0.0467445395222382,0.0467986465,228,0.952069739554753,0.00233727072356485,0.000467445395222382,0.998843834559151,0.00142109458418989,0.00325344686293981,0.234000427004699,0.984999034094358,1.01268599896634,98.2955039546314,,
k2016,F097,AUCinf_B,M2,10000,-0.0468234765161582,0.04611772754966,0.0461552715,228,0.952069739554753,0.0022935145228665,0.0004611772754966,0.999186572863296,0.00138962367240486,0.00319740537332814,0.229614663918087,0.985337021762549,1.01303348700192,98.4996596853217,,
k2016,F097,AUCinf_C,M0,10000,-0.0495014264199381,0.0486471954003429,0.0502759515,232,0.952069739554753,-0.000384435380913359,0.000486471954003429,0.967603674300283,-0.0013379028902489,0.000569032128422187,-0.0384361495100682,0.954191888257072,0.981012906732077,96.8697587975616,,
k2016,F097,AUCinf_C,M1,10000,-0.0494953857866595,0.0486340213154811,0.048826454,231,0.952069739554753,-0.000378394747634798,0.000486340213154811,0.996058843746487,-0.00133160404965176,0.000574814554382163,-0.0378323165371341,0.982252645554405,1.00986241323086,97.2054335963631,,
k2016,F097,AUCinf_C,M2,10000,-0.0495223331217916,0.0480133702075887,0.048167055,231,0.952069739554753,-0.000405342082766824,0.000480133702075887,0.9968093379923,-0.00134638684659945,0.000535702681065798,-0.0405259942763414,0.982992737330158,1.0106233079661,97.4934595769967,,
k2016,F097,AUCinf_Ci,M0,10000,-0.0491076340851177,0.0483241821126556,0.049935978,232,0.952069739554753,9.35695390704566e-06,0.000483241821126556,0.967722753175187,-0.000937779611324551,0.000956493519138642,0.00093569976835628,0.954309316600426,0.981133635824268,97.0903883354499,,
k2016,F097,AUCinf_Ci,M1,10000,-0.0491017198807445,0.0483109585691381,0.0484921035,231,0.952069739554753,1.52711582802265e-05,0.000483109585691381,0.996264444769613,-0.000931606230260947,0.0009621485468214,0.0015271274884876,0.98245539677755,1.01007086351136,97.4069527222409,,
k2016,F097,AUCinf_Ci,M2,10000,-0.0491262889945706,0.0476877538365344,0.0478352615,231,0.952069739554753,-9.29795554588386e-06,0.000476877538365344,0.996916340397437,-0.000943960755778076,0.000925364844686308,-0.000929791232007204,0.983098256593589,1.01073179323055,97.6817268133279,,
k2016,F097,AUCinf_true,M0,10000,-0.0489969955824511,0.0457930310800159,0.0475934475,232,0.952069739554753,0.000119995456573666,0.000457930310800159,0.96217091817137,-0.000777531460023879,0.00101752237317121,0.0120002656316398,0.94883443461487,0.975504862454086,98.1522726841674,,
k2016,F097,AUCinf_true,M1,10000,-0.0489913216839288,0.0457770739860549,0.04607207,231,0.952069739554753,0.000125669355095906,0.000457770739860549,0.993597074888427,-0.000771544808207023,0.00102288351839884,0.0125677251820111,0.979824998845825,1.0073665287202,98.3903503270082,,
k2016,F097,AUCinf_true,M2,10000,-0.0490186597111714,0.0451021452141634,0.045400858,231,0.952069739554753,9.83313278533904e-05,0.000451021452141635,0.993420547562415,-0.000785654474599169,0.00098231713030595,0.00983361625368495,0.979650918334341,1.00718755504553,98.60287006691,,
k2016,F097,AUClast,M0,10000,-0.049803745692805,0.0487679362075027,0.050453773,232,0.952069739554753,-0.000686754653780285,0.000487679362075027,0.966586506969513,-0.00164258863945081,0.000269079331890238,-0.06865188917764,0.953188819705557,0.979981643306466,96.749212669409,,
k2016,F097,AUClast,M1,10000,-0.0497979716552078,0.0487549564101148,0.048981704,231,0.952069739554753,-0.000680980616183095,0.000487549564101148,0.995370769667686,-0.00163656020249955,0.000274598970133357,-0.0680748801506703,0.981574108750598,1.00916480369297,97.0998111167893,,
k2016,F097,AUClast,M2,10000,-0.0498246447265261,0.048141681958753,0.0483053585,231,0.952069739554753,-0.000707653687501364,0.00048141681958753,0.99661162764692,-0.00165121331544474,0.000235905940442011,-0.0707403359682557,0.982797767413449,1.01042285771383,97.3967521383259,,
