pk_model,scenario,multiplier_F,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,n_subjects
k2016,F097,0.97,0.952069739554753,1.20287848916447e-05,0.965269785236406,7.00330640067617e-06,200000
k2020,F097,0.97,0.952367656502161,1.18667274279093e-05,0.965498850360188,6.85792773694315e-06,200000
