pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,p2_pct,auclast_pct,ref_pct,ref_minus_5_pp,auclast_minus_ref_pp,p2_minus_auclast_pp,p2_minus_5_pp,auclast_bias_pct,auclast_bias_lo_pct,auclast_bias_hi_pct,auclast_bias_dir,ref_sd_se,n_trials,lo,hi,class
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,3.71,3.8,4.48,-0.520000000000001,-0.68,-0.0899999999999999,-1.29,-0.505878768028556,-0.602153153952423,-0.409511133028584,away_from_1,0.963110310256222,10000,3.35697349886415,4.09857707029309,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,4.03,4.14,5.03,0.0299999999999994,-0.89,-0.109999999999999,-0.97,-0.505310542376258,-0.60156057635955,-0.408967307039942,away_from_1,0.994754165027385,10000,3.66187206390807,4.43343274629193,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,4.01,4.1,4.99,-0.00999999999999979,-0.89,-0.0900000000000008,-0.99,-0.50817678379238,-0.603201223237582,-0.413061499931622,away_from_1,0.994412090410113,10000,3.64279583231641,4.41252433781842,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,3.24,3.34,4.33,-0.67,-0.99,-0.1,-1.76,0.483193357550982,0.388602619696332,0.577873223129832,away_from_1,0.961656298853573,10000,2.91052689302443,3.60538463460124,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,3.6,3.71,4.82,-0.18,-1.11,-0.11,-1.4,0.483786025451582,0.389220191614648,0.578440939539471,away_from_1,0.992707904830646,10000,3.25233119259569,3.9833038562031,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,3.58,3.69,4.77,-0.23,-1.08,-0.11,-1.42,0.481563297291299,0.3881724548912,0.575041020936751,away_from_1,0.99249495649701,10000,3.23331501535284,3.96233539338078,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,3.97,3.97,4.39,-0.609999999999999,-0.420000000000001,0,-1.03,-0.303814474291408,-0.395447498805968,-0.212097150304891,away_from_1,0.961091824992858,10000,3.60465114473627,4.37069974526822,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,4.33,4.33,4.96,-0.04,-0.63,0,-0.67,-0.303281902645192,-0.394888775461477,-0.211590778940118,away_from_1,0.993465706039563,10000,3.94831383323837,4.74676057793923,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,4.38,4.38,5.04,0.04,-0.66,0,-0.62,-0.305672085362352,-0.39605282596088,-0.215209333171895,away_from_1,0.99343907202174,10000,3.9961062612773,4.79892975006323,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,2.67,2.67,4.12,-0.88,-1.45,0,-2.33,0.915340123517727,0.821986623368098,1.00878006191643,away_from_1,0.962084581497339,10000,2.37175657034417,3.00459271542408,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,2.93,2.93,4.53,-0.47,-1.6,0,-2.07,0.915927282564022,0.82259803734217,1.00934292060042,away_from_1,0.991991015473534,10000,2.61710405911661,3.27904554749888,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M2,2.83,2.83,4.65,-0.35,-1.82,0,-2.17,0.914396954325669,0.822183222038375,1.00669502690547,away_from_1,0.991755610132049,10000,2.52265318643196,3.17357321985767,conservative
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,2.25,2.25,4.64,-0.36,-2.39,0,-2.75,-1.50200575732556,-1.60041982899746,-1.40349325708837,away_from_1,0.966259212865879,10000,1.97714552453257,2.55952631986704,conservative
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,2.54,2.54,5.06,0.0599999999999996,-2.52,0,-2.46,-1.50143586231762,-1.59982435621161,-1.4029489916101,away_from_1,0.997315551801265,10000,2.24937133385934,2.86707779148528,conservative
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M2,2.61,2.61,5.07,0.0700000000000003,-2.46,0,-2.39,-1.50492750672132,-1.60207131632382,-1.40768779144407,away_from_1,0.997704989678927,10000,2.31524577736878,2.94114958820395,conservative
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,0,4.74,5.11,0.11,-0.37,-4.74,-5,-0.227614954405864,-0.344001068741528,-0.111092915211142,away_from_1,0.993484190924169,10000,0,0.0383998370676596,conservative
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,0,5.13,5.6,0.600000000000001,-0.470000000000001,-5.13,-5,-0.227318047100333,-0.343677221778116,-0.11082301092219,away_from_1,1.0203445729679,10000,0,0.0383998370676596,conservative
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M2,0,5.29,5.53,0.53,-0.24,-5.29,-5,-0.231658964638681,-0.346894593177072,-0.116290081345893,away_from_1,1.02085433803507,10000,0,0.0383998370676596,conservative
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,3.37,3.37,4.55,-0.45,-1.18,0,-1.63,0.497700804259704,0.402291475885264,0.593200797297322,away_from_1,0.960904694847028,10000,3.03383376227813,3.74197792577116,conservative
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,3.79,3.79,5,0,-1.21,0,-1.21,0.498276168378875,0.4028953914893,0.593747555131485,away_from_1,0.994043619914295,10000,3.43313215024983,4.1823569791681,conservative
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M2,3.85,3.85,4.75,-0.25,-0.9,0,-1.15,0.495309818368672,0.401206578773716,0.589501258295133,away_from_1,0.993405588390519,10000,3.49028065618939,4.24516239342406,conservative
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,3.67,3.67,4.62,-0.38,-0.95,0,-1.33,-0.571073608672468,-0.666535945641678,-0.475519529631574,away_from_1,0.963684857176612,10000,3.31891143201197,4.05666985701492,conservative
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,4.06,4.06,5.07,0.0700000000000003,-1.01,0,-0.94,-0.57049579936248,-0.665936106369636,-0.474963793175354,away_from_1,0.993141926538692,10000,3.69049121928224,4.46479055101552,conservative
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M2,4.02,4.02,5.21,0.21,-1.19,0,-0.98,-0.57263147361466,-0.666941584700265,-0.4782318213713,away_from_1,0.992739123040186,10000,3.65233362605783,4.42297886410959,conservative
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M0,3.7,3.74,4.61,-0.39,-0.87,-0.0400000000000005,-1.3,-0.462089662809406,-0.565430604067285,-0.358641320773245,away_from_1,0.96723445004055,10000,3.34745689092521,4.08810135819944,conservative
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M1,4.1,4.15,4.9,-0.0999999999999996,-0.75,-0.0499999999999998,-0.9,-0.461478776164803,-0.564785747127172,-0.358064475718323,away_from_1,0.993353672644603,10000,3.72865897330322,4.50659207712489,conservative
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M2,4.15,4.16,4.79,-0.21,-0.63,-0.00999999999999979,-0.85,-0.46488182736415,-0.567019940262126,-0.362638797625703,away_from_1,0.993822189074805,10000,3.7763827388616,4.55882991172945,conservative
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M0,3.41,3.43,4.32,-0.68,-0.890000000000001,-0.02,-1.59,0.400489072690169,0.300268343369226,0.500809943264491,away_from_1,0.965983019619213,10000,3.07180293534988,3.78397803282977,conservative
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M1,3.79,3.81,4.69,-0.310000000000001,-0.879999999999999,-0.0199999999999996,-1.21,0.401102816581123,0.300916620636316,0.501389084132398,away_from_1,0.991938912759055,10000,3.43313215024983,4.1823569791681,conservative
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M2,3.83,3.84,4.63,-0.37,-0.79,-0.00999999999999979,-1.17,0.398445518951429,0.299396367808358,0.497592484584919,away_from_1,0.991707920949022,10000,3.47122838542385,4.22423002412443,conservative
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M0,5.18,5.195,4.585,-0.415,0.61,-0.0150000000000006,0.18,0.412047249423009,0.339079428008282,0.485068133941269,toward_1,0.970820258872137,20000,4.88136778412433,5.49584632794489,nominal
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M1,5.625,5.645,4.94,-0.0600000000000005,0.705,-0.0199999999999996,0.625,0.411740547589035,0.338789970045039,0.484744163312634,toward_1,0.997704815132203,20000,5.31412097634036,5.95292222363892,exceeding
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M2,5.745,5.77,4.965,-0.0350000000000001,0.805000000000001,-0.0250000000000004,0.745,0.408333077832301,0.336305038711471,0.480412823445797,toward_1,0.996626299839685,20000,5.43091711656911,6.07607999475671,exceeding
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M0,2.72,2.72,4.24,-0.76,-1.52,0,-2.28,0.732609814255514,0.635073565380662,0.830240595975718,away_from_1,0.965906559542345,10000,2.4188809476051,3.05742993832608,conservative
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M1,3.01,3.01,4.67,-0.33,-1.66,0,-1.99,0.73321727133786,0.635715773507162,0.830813234061134,away_from_1,0.991270619596083,10000,2.69273820087322,3.36334996600297,conservative
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M2,3.04,3.04,4.54,-0.46,-1.5,0,-1.96,0.731283743067634,0.634873340203357,0.827786509199946,away_from_1,0.990825290514393,10000,2.72111726450346,3.39494786247049,conservative
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M0,2.76,2.76,4.75,-0.25,-1.99,0,-2.24,-1.33628782407407,-1.44277232640068,-1.2296882723543,away_from_1,0.970004213466421,10000,2.4566008678009,3.09967929826063,conservative
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M1,2.96,2.96,5.17,0.17,-2.21,0,-2.04,-1.33566356210125,-1.44211276613346,-1.22909938570754,away_from_1,0.995823233180226,10000,2.64545937507927,3.31066719163399,conservative
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M2,3.14,3.14,5.11,0.11,-1.97,0,-1.86,-1.3395736017162,-1.44483651258821,-1.23419826365101,away_from_1,0.995731601606882,10000,2.81577609284945,3.50021223445036,conservative
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M0,0,5.07,5.43,0.43,-0.359999999999999,-5.07,-5,-0.241671373275931,-0.364880577674831,-0.118309807860795,away_from_1,0.993313964963946,10000,0,0.0383998370676596,conservative
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M1,0,5.43,5.83,0.83,-0.4,-5.43,-5,-0.241298452034444,-0.364472979812724,-0.117971649613291,away_from_1,1.01571280750859,10000,0,0.0383998370676596,conservative
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M2,0,5.46,5.81,0.81,-0.35,-5.46,-5,-0.246260124894171,-0.368348020001308,-0.124022624176423,away_from_1,1.01574996080192,10000,0,0.0383998370676596,conservative
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M0,3.68,3.68,4.42,-0.58,-0.74,0,-1.32,0.341694313084107,0.238493015489083,0.445001862354566,away_from_1,0.966251253288344,10000,3.32842585465914,4.06714775440034,conservative
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M1,4.05,4.05,4.85,-0.149999999999999,-0.800000000000001,0,-0.95,0.342318485462623,0.239153904268874,0.445589242041922,away_from_1,0.993461787668916,10000,3.68095086278926,4.45433858747592,conservative
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M2,4.08,4.08,4.73,-0.27,-0.65,0,-0.92,0.338963343281451,0.237000029072343,0.441030376850105,away_from_1,0.99350063899211,10000,3.70957383513174,4.4856925752312,conservative
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M0,3.77,3.77,4.67,-0.33,-0.9,0,-1.23,-0.548400306189201,-0.648732254097573,-0.447967035972618,away_from_1,0.966845818523688,10000,3.41408822781961,4.16141626153315,conservative
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M1,4.1,4.1,5.04,0.04,-0.94,0,-0.9,-0.5477887033152,-0.648088764880395,-0.447387384489573,away_from_1,0.992071078327003,10000,3.72865897330322,4.50659207712489,conservative
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M2,4.13,4.13,5.06,0.0599999999999996,-0.929999999999999,0,-0.869999999999999,-0.550348019834646,-0.649535323640837,-0.45106169161756,away_from_1,0.991887172224081,10000,3.75729137145592,4.53793663906995,conservative
