input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2020,ratio,mechanistic,35,0.95,M1,85,54,60
k2020,ratio,mechanistic,35,0.95,M1,90,64,72
k2020,ratio,mechanistic,35,1,M0,85,44,49
k2020,ratio,mechanistic,35,1,M0,90,50,56
k2020,ratio,mechanistic,35,1,M1,85,42,47
k2020,ratio,mechanistic,35,1,M1,90,48,54
k2020,ratio,mechanistic,40,0.9,M0,85,152,169
k2020,ratio,mechanistic,40,0.9,M0,90,180,200
k2020,ratio,mechanistic,40,0.9,M1,85,146,163
k2020,ratio,mechanistic,40,0.9,M1,90,174,194
k2020,ratio,mechanistic,40,0.95,M0,85,73,82
k2020,ratio,mechanistic,40,0.95,M0,90,86,96
k2020,ratio,mechanistic,40,0.95,M1,85,71,79
k2020,ratio,mechanistic,40,0.95,M1,90,83,93
k2020,ratio,mechanistic,40,1,M0,85,57,64
k2020,ratio,mechanistic,40,1,M0,90,64,72
k2020,ratio,mechanistic,40,1,M1,85,55,62
k2020,ratio,mechanistic,40,1,M1,90,62,69
k2020,ratio,mechanistic,43,0.9,M0,85,174,194
k2020,ratio,mechanistic,43,0.9,M0,90,206,229
k2020,ratio,mechanistic,43,0.9,M1,85,168,187
k2020,ratio,mechanistic,43,0.9,M1,90,200,223
k2020,ratio,mechanistic,43,0.95,M0,85,84,94
k2020,ratio,mechanistic,43,0.95,M0,90,98,109
k2020,ratio,mechanistic,43,0.95,M1,85,81,90
k2020,ratio,mechanistic,43,0.95,M1,90,95,106
k2020,ratio,mechanistic,43,1,M0,85,65,73
k2020,ratio,mechanistic,43,1,M0,90,73,82
k2020,ratio,mechanistic,43,1,M1,85,63,70
k2020,ratio,mechanistic,43,1,M1,90,72,80
k2020,ratio,mechanistic,46,0.9,M0,85,197,219
k2020,ratio,mechanistic,46,0.9,M0,90,233,259
k2020,ratio,mechanistic,46,0.9,M1,85,191,213
k2020,ratio,mechanistic,46,0.9,M1,90,228,254
k2020,ratio,mechanistic,46,0.95,M0,85,95,106
k2020,ratio,mechanistic,46,0.95,M0,90,111,124
k2020,ratio,mechanistic,46,0.95,M1,85,92,103
k2020,ratio,mechanistic,46,0.95,M1,90,108,120
k2020,ratio,mechanistic,46,1,M0,85,74,83
k2020,ratio,mechanistic,46,1,M0,90,83,93
k2020,ratio,mechanistic,46,1,M1,85,72,80
k2020,ratio,mechanistic,46,1,M1,90,81,90
k2020,ratio,mechanistic,50,0.9,M0,85,229,255
k2020,ratio,mechanistic,50,0.9,M0,90,272,303
k2020,ratio,mechanistic,50,0.9,M1,85,224,249
k2020,ratio,mechanistic,50,0.9,M1,90,266,296
k2020,ratio,mechanistic,50,0.95,M0,85,110,123
k2020,ratio,mechanistic,50,0.95,M0,90,129,144
k2020,ratio,mechanistic,50,0.95,M1,85,108,120
k2020,ratio,mechanistic,50,0.95,M1,90,127,142
k2020,ratio,mechanistic,50,1,M0,85,86,96
k2020,ratio,mechanistic,50,1,M0,90,97,108
k2020,ratio,mechanistic,50,1,M1,85,84,94
k2020,ratio,mechanistic,50,1,M1,90,95,106
k2020,ratio,mechanistic,52,0.9,M0,85,246,274
k2020,ratio,mechanistic,52,0.9,M0,90,292,325
k2020,ratio,mechanistic,52,0.9,M1,85,241,268
k2020,ratio,mechanistic,52,0.9,M1,90,286,318
k2020,ratio,mechanistic,52,0.95,M0,85,118,132
k2020,ratio,mechanistic,52,0.95,M0,90,139,155
k2020,ratio,mechanistic,52,0.95,M1,85,116,129
k2020,ratio,mechanistic,52,0.95,M1,90,136,152
k2020,ratio,mechanistic,52,1,M0,85,92,103
k2020,ratio,mechanistic,52,1,M0,90,104,116
k2020,ratio,mechanistic,52,1,M1,85,90,100
k2020,ratio,mechanistic,52,1,M1,90,102,114
