input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2016,fixed,mechanistic,43,0.95,M1,90,95,106
k2016,fixed,mechanistic,43,1,M0,85,65,73
k2016,fixed,mechanistic,43,1,M0,90,74,83
k2016,fixed,mechanistic,43,1,M1,85,64,72
k2016,fixed,mechanistic,43,1,M1,90,72,80
k2016,fixed,mechanistic,46,0.9,M0,85,196,218
k2016,fixed,mechanistic,46,0.9,M0,90,233,259
k2016,fixed,mechanistic,46,0.9,M1,85,191,213
k2016,fixed,mechanistic,46,0.9,M1,90,227,253
k2016,fixed,mechanistic,46,0.95,M0,85,94,105
k2016,fixed,mechanistic,46,0.95,M0,90,111,124
k2016,fixed,mechanistic,46,0.95,M1,85,92,103
k2016,fixed,mechanistic,46,0.95,M1,90,108,120
k2016,fixed,mechanistic,46,1,M0,85,73,82
k2016,fixed,mechanistic,46,1,M0,90,83,93
k2016,fixed,mechanistic,46,1,M1,85,71,79
k2016,fixed,mechanistic,46,1,M1,90,81,90
k2016,fixed,mechanistic,50,0.9,M0,85,229,255
k2016,fixed,mechanistic,50,0.9,M0,90,272,303
k2016,fixed,mechanistic,50,0.9,M1,85,223,248
k2016,fixed,mechanistic,50,0.9,M1,90,266,296
k2016,fixed,mechanistic,50,0.95,M0,85,109,122
k2016,fixed,mechanistic,50,0.95,M0,90,129,144
k2016,fixed,mechanistic,50,0.95,M1,85,107,119
k2016,fixed,mechanistic,50,0.95,M1,90,126,140
k2016,fixed,mechanistic,50,1,M0,85,85,95
k2016,fixed,mechanistic,50,1,M0,90,96,107
k2016,fixed,mechanistic,50,1,M1,85,83,93
k2016,fixed,mechanistic,50,1,M1,90,94,105
k2016,fixed,mechanistic,52,0.9,M0,85,246,274
k2016,fixed,mechanistic,52,0.9,M0,90,292,325
k2016,fixed,mechanistic,52,0.9,M1,85,240,267
k2016,fixed,mechanistic,52,0.9,M1,90,286,318
k2016,fixed,mechanistic,52,0.95,M0,85,117,130
k2016,fixed,mechanistic,52,0.95,M0,90,138,154
k2016,fixed,mechanistic,52,0.95,M1,85,115,128
k2016,fixed,mechanistic,52,0.95,M1,90,135,150
k2016,fixed,mechanistic,52,1,M0,85,91,102
k2016,fixed,mechanistic,52,1,M0,90,103,115
