input_model,code,auc_ratio,cmax_ratio,k
k2016,F_down_090,0.899812601831346,0.926930552456146,0.718741362928524
k2016,F_down_095,0.949920923227653,0.96370327443162,0.719624965706382
k2020,F_down_090,0.899842309255108,0.92701274636435,0.718126023188196
k2020,F_down_095,0.949944849803286,0.963734069940012,0.719355659967524
