input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2020,40,0.95,100,M1,93.9528085878347,5000,93.72,93.0134082688333,94.359463873091,-0.232808587834654,TRUE
k2020,40,0.95,117,M0,96.2514803771606,5000,95.98,95.3993059543546,96.490096174778,-0.271480377160586,TRUE
k2020,40,0.95,117,M1,96.6250816918333,5000,96.4,95.846988868514,96.8817683909847,-0.225081691833353,TRUE
k2020,40,0.95,130,M0,97.6006830872272,5000,97.8,97.3552286601531,98.1713790338994,0.199316912772844,TRUE
k2020,40,0.95,130,M1,97.8582979559422,5000,98.08,97.6610795358756,98.4250982450878,0.221702044057807,TRUE
k2020,40,0.95,140,M0,98.3061749051478,5000,98.38,97.9911023529428,98.6946148068535,0.0738250948522108,TRUE
k2020,40,0.95,140,M1,98.4976867074352,5000,98.48,98.101750739618,98.7838128797893,-0.0176867074351321,TRUE
k2020,43,0.95,100,M0,90.4352726634773,5000,90.52,89.6766394155155,91.3011460188571,0.0847273365227323,TRUE
k2020,43,0.95,100,M1,91.1402402424488,5000,91.32,90.5075538722,92.0690032390605,0.17975975755121,TRUE
k2020,43,0.95,117,M0,94.1147893253659,5000,94.34,93.6648015946411,94.9471185968713,0.225210674634099,TRUE
k2020,43,0.95,117,M1,94.5968057759555,5000,94.74,94.0861770524541,95.3251289775022,0.143194224044535,TRUE
k2020,43,0.95,130,M0,95.9640521378309,5000,95.98,95.3993059543546,96.490096174778,0.015947862169142,TRUE
k2020,43,0.95,130,M1,96.3188801472838,5000,96.54,95.9966189053468,97.0119233976073,0.2211198527162,TRUE
k2020,43,0.95,140,M0,96.9915255705659,5000,96.7,96.1678956509556,97.1604009873761,-0.291525570565852,TRUE
k2020,43,0.95,140,M1,97.2694607118599,5000,97.02,96.5113979480873,97.4564073609995,-0.249460711859911,TRUE
k2020,46,0.95,100,M0,86.9954059631106,5000,86.68,85.709946635009,87.5937347503017,-0.315405963110592,TRUE
k2020,46,0.95,100,M1,87.7873506769767,5000,87.56,86.6162618246869,88.4460684052005,-0.227350676976741,TRUE
k2020,46,0.95,117,M0,91.4528987687277,5000,91.96,91.1737019894538,92.6818724633171,0.507101231272287,TRUE
k2020,46,0.95,117,M1,92.0278666496875,5000,92.46,91.6951023972571,93.1597043535687,0.432133350312512,TRUE
k2020,46,0.95,130,M0,93.8197752799568,5000,93.86,93.1603250629038,94.4923321224758,0.0402247200432413,TRUE
k2020,46,0.95,130,M1,94.2648913547378,5000,94.42,93.7490022119131,95.022795147288,0.155108645262246,TRUE
k2020,46,0.95,140,M0,95.1966471489154,5000,95.42,94.8048554254606,95.9654065298505,0.223352851084641,TRUE
k2020,46,0.95,140,M1,95.5597368194142,5000,95.74,95.1442230956357,96.2655475304305,0.18026318058584,TRUE
k2020,50,0.95,100,M0,81.8588643128324,5000,81.26,80.154501769951,82.3175015044441,-0.598864312832404,TRUE
k2020,50,0.95,100,M1,82.7294497900411,5000,82.14,81.0537973420887,83.1768547768831,-0.589449790041115,TRUE
k2020,50,0.95,117,M0,87.288236672427,5000,87.6,86.6574923635766,88.4847764501552,0.311763327573004,TRUE
k2020,50,0.95,117,M1,87.9574839740682,5000,88.26,87.3382520753731,89.1230033717912,0.30251602593178,TRUE
k2020,50,0.95,130,M0,90.3186907119398,5000,90.3,89.4484551318866,91.0896680913418,-0.018690711939783,TRUE
k2020,50,0.95,130,M1,90.8627306614952,5000,90.74,89.9049566916304,91.5124909538864,-0.122730661495183,TRUE
k2020,50,0.95,140,M0,92.1586124656927,5000,92.48,91.7159773626062,93.1787986801418,0.32138753430732,TRUE
k2020,50,0.95,140,M1,92.6204535605835,5000,93,92.2592715674013,93.6747060653238,0.379546439416501,TRUE
k2020,52,0.95,100,M0,79.1303491280373,5000,78.24,77.0748672462135,79.3617729479296,-0.890349128037329,TRUE
k2020,52,0.95,100,M1,80.0273601046001,5000,79.06,77.9101087128264,80.1652724501269,-0.96736010460009,TRUE
k2020,52,0.95,117,M0,85.0131222105677,5000,84.06,83.0192880566958,85.0484160868069,-0.953122210567699,TRUE
k2020,52,0.95,117,M1,85.7175725148082,5000,84.64,83.6140201062769,85.6127935029696,-1.07757251480824,FALSE
k2020,52,0.95,130,M0,88.3551159944863,5000,87.88,86.9461933485751,88.7556455520674,-0.475115994486288,TRUE
k2020,52,0.95,130,M1,88.9384056380654,5000,88.38,87.4621216662342,89.2389495324632,-0.558405638065395,TRUE
