input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,fixed,equal,50,0.95,117,M1,87.961670690266
k2016,fixed,equal,50,0.95,130,M0,90.306043945042
k2016,fixed,equal,50,0.95,130,M1,90.884268552574
k2016,fixed,equal,50,0.95,140,M0,92.1578065332495
k2016,fixed,equal,50,0.95,140,M1,92.6479272298014
k2016,fixed,equal,50,1,100,M0,91.4800296768546
k2016,fixed,equal,50,1,100,M1,92.0790873012339
k2016,fixed,equal,50,1,117,M0,95.4660224067135
k2016,fixed,equal,50,1,117,M1,95.8195346859581
k2016,fixed,equal,50,1,130,M0,97.2323968812155
k2016,fixed,equal,50,1,130,M1,97.4635174775967
k2016,fixed,equal,50,1,140,M0,98.1181116138185
k2016,fixed,equal,50,1,140,M1,98.2829754659034
k2016,fixed,equal,52,0.9,100,M0,50.2330808325994
k2016,fixed,equal,52,0.9,100,M1,51.5520702769766
k2016,fixed,equal,52,0.9,117,M0,56.3821185210473
k2016,fixed,equal,52,0.9,117,M1,57.6652665545007
k2016,fixed,equal,52,0.9,130,M0,60.6181504536784
k2016,fixed,equal,52,0.9,130,M1,61.8620131492494
k2016,fixed,equal,52,0.9,140,M0,63.6275729591718
k2016,fixed,equal,52,0.9,140,M1,64.8354226610526
k2016,fixed,equal,52,0.95,100,M0,79.0454426076357
k2016,fixed,equal,52,0.95,100,M1,80.0026606825803
k2016,fixed,equal,52,0.95,117,M0,84.9854411490994
k2016,fixed,equal,52,0.95,117,M1,85.7350215708594
k2016,fixed,equal,52,0.95,130,M0,88.349918864129
k2016,fixed,equal,52,0.95,130,M1,88.9693813615792
k2016,fixed,equal,52,0.95,140,M0,90.4201910914461
k2016,fixed,equal,52,0.95,140,M1,90.9534286687509
k2016,fixed,equal,52,1,100,M0,89.0878725974751
k2016,fixed,equal,52,1,100,M1,89.7696760890422
k2016,fixed,equal,52,1,117,M0,93.881617349815
k2016,fixed,equal,52,1,117,M1,94.3059129887668
k2016,fixed,equal,52,1,130,M0,96.1105259077981
k2016,fixed,equal,52,1,130,M1,96.3996115258699
k2016,fixed,equal,52,1,140,M0,97.2704179122653
k2016,fixed,equal,52,1,140,M1,97.4833526697959
k2016,fixed,mechanistic,35,0.9,100,M0,78.331094357615
k2016,fixed,mechanistic,35,0.9,100,M1,80.1711211298871
k2016,fixed,mechanistic,35,0.9,117,M0,84.2302703250127
k2016,fixed,mechanistic,35,0.9,117,M1,85.7440840270151
k2016,fixed,mechanistic,35,0.9,130,M0,87.7083077000208
k2016,fixed,mechanistic,35,0.9,130,M1,88.9870556129726
k2016,fixed,mechanistic,35,0.9,140,M0,89.8844262846759
k2016,fixed,mechanistic,35,0.9,140,M1,90.9969185432718
k2016,fixed,mechanistic,35,0.95,100,M0,97.2399297060194
k2016,fixed,mechanistic,35,0.95,100,M1,97.6060409708192
k2016,fixed,mechanistic,35,0.95,117,M0,98.7367014535209
k2016,fixed,mechanistic,35,0.95,117,M1,98.9250640603225
k2016,fixed,mechanistic,35,0.95,130,M0,99.3151589401632
k2016,fixed,mechanistic,35,0.95,130,M1,99.425449693528
k2016,fixed,mechanistic,35,0.95,140,M0,99.5756123950923
k2016,fixed,mechanistic,35,0.95,140,M1,99.6477059203843
k2016,fixed,mechanistic,35,1,100,M0,99.6817599496999
k2016,fixed,mechanistic,35,1,100,M1,99.7333338042007
k2016,fixed,mechanistic,35,1,117,M0,99.9212084622191
k2016,fixed,mechanistic,35,1,117,M1,99.9353066255085
k2016,fixed,mechanistic,35,1,130,M0,99.9735983608482
k2016,fixed,mechanistic,35,1,130,M1,99.9786379434967
k2016,fixed,mechanistic,35,1,140,M0,99.9887622207183
k2016,fixed,mechanistic,35,1,140,M1,99.9910052132313
k2016,fixed,mechanistic,40,0.9,100,M0,69.3444548811339
k2016,fixed,mechanistic,40,0.9,100,M1,71.1258673836526
k2016,fixed,mechanistic,40,0.9,117,M0,75.6611351901207
k2016,fixed,mechanistic,40,0.9,117,M1,77.2465897769357
k2016,fixed,mechanistic,40,0.9,130,M0,79.6751340745441
k2016,fixed,mechanistic,40,0.9,130,M1,81.1027108174856
k2016,fixed,mechanistic,40,0.9,140,M0,82.3429967006509
k2016,fixed,mechanistic,40,0.9,140,M1,83.6498451220199
k2016,fixed,mechanistic,40,0.95,100,M0,93.646802983418
k2016,fixed,mechanistic,40,0.95,100,M1,94.2636349448311
k2016,fixed,mechanistic,40,0.95,117,M0,96.4170704733124
k2016,fixed,mechanistic,40,0.95,117,M1,96.8044695644306
k2016,fixed,mechanistic,40,0.95,130,M0,97.7058437279293
k2016,fixed,mechanistic,40,0.95,130,M1,97.9721833659124
k2016,fixed,mechanistic,40,0.95,140,M0,98.379199783249
k2016,fixed,mechanistic,40,0.95,140,M1,98.5768759107935
k2016,fixed,mechanistic,40,1,100,M0,98.7440736614795
k2016,fixed,mechanistic,40,1,100,M1,98.9136955396839
k2016,fixed,mechanistic,40,1,117,M0,99.5630765441507
k2016,fixed,mechanistic,40,1,117,M1,99.6285775979382
k2016,fixed,mechanistic,40,1,130,M0,99.8080024906977
k2016,fixed,mechanistic,40,1,130,M1,99.8388057318556
k2016,fixed,mechanistic,40,1,140,M0,99.8987765112405
k2016,fixed,mechanistic,40,1,140,M1,99.9157919659063
k2016,fixed,mechanistic,43,0.9,100,M0,64.3146394828058
k2016,fixed,mechanistic,43,0.9,100,M1,65.9826086314265
k2016,fixed,mechanistic,43,0.9,117,M0,70.625628948334
k2016,fixed,mechanistic,43,0.9,117,M1,72.1591328642574
k2016,fixed,mechanistic,43,0.9,130,M0,74.7641352417335
k2016,fixed,mechanistic,43,0.9,130,M1,76.1821256585609
k2016,fixed,mechanistic,43,0.9,140,M0,77.5850928775532
k2016,fixed,mechanistic,43,0.9,140,M1,78.9109979202031
k2016,fixed,mechanistic,43,0.95,100,M0,90.6206166198083
k2016,fixed,mechanistic,43,0.95,100,M1,91.3604939492631
k2016,fixed,mechanistic,43,0.95,117,M0,94.2255027734545
k2016,fixed,mechanistic,43,0.95,117,M1,94.730223408733
k2016,fixed,mechanistic,43,0.95,130,M0,96.0369500599873
k2016,fixed,mechanistic,43,0.95,130,M1,96.4081269277345
k2016,fixed,mechanistic,43,0.95,140,M0,97.044080963258
k2016,fixed,mechanistic,43,0.95,140,M1,97.3346744975846
k2016,fixed,mechanistic,43,1,100,M0,97.4200789236632
k2016,fixed,mechanistic,43,1,100,M1,97.7051430962982
k2016,fixed,mechanistic,43,1,117,M0,98.9396602513578
k2016,fixed,mechanistic,43,1,117,M1,99.0693351625069
k2016,fixed,mechanistic,43,1,130,M0,99.4699104917599
k2016,fixed,mechanistic,43,1,130,M1,99.5391975755653
k2016,fixed,mechanistic,43,1,140,M0,99.6912220710171
k2016,fixed,mechanistic,43,1,140,M1,99.7334851084181
k2016,fixed,mechanistic,46,0.9,100,M0,59.704757677618
k2016,fixed,mechanistic,46,0.9,100,M1,61.2397584611242
k2016,fixed,mechanistic,46,0.9,117,M0,65.8933277311089
k2016,fixed,mechanistic,46,0.9,117,M1,67.3400846637045
k2016,fixed,mechanistic,46,0.9,130,M0,70.0494992294124
k2016,fixed,mechanistic,46,0.9,130,M1,71.4151565484656
k2016,fixed,mechanistic,46,0.9,140,M0,72.9380803885121
k2016,fixed,mechanistic,46,0.9,140,M1,74.2363099284874
k2016,fixed,mechanistic,46,0.95,100,M0,87.1174117956587
k2016,fixed,mechanistic,46,0.95,100,M1,87.9512926003321
k2016,fixed,mechanistic,46,0.95,117,M0,91.5292395394258
k2016,fixed,mechanistic,46,0.95,117,M1,92.1341297603831
k2016,fixed,mechanistic,46,0.95,130,M0,93.8729494834761
k2016,fixed,mechanistic,46,0.95,130,M1,94.3410708834005
k2016,fixed,mechanistic,46,0.95,140,M0,95.2371772388275
k2016,fixed,mechanistic,46,0.95,140,M1,95.6189504668733
k2016,fixed,mechanistic,46,1,100,M0,95.3679268792683
k2016,fixed,mechanistic,46,1,100,M1,95.7867519709241
k2016,fixed,mechanistic,46,1,117,M0,97.8354728683485
k2016,fixed,mechanistic,46,1,117,M1,98.0521353425743
k2016,fixed,mechanistic,46,1,130,M0,98.8052642081683
k2016,fixed,mechanistic,46,1,130,M1,98.9331644947797
k2016,fixed,mechanistic,46,1,140,M0,99.2486655790801
k2016,fixed,mechanistic,46,1,140,M1,99.3329482751924
k2016,fixed,mechanistic,50,0.9,100,M0,54.2378346751379
k2016,fixed,mechanistic,50,0.9,100,M1,55.5948447369025
k2016,fixed,mechanistic,50,0.9,117,M0,60.1714147454638
k2016,fixed,mechanistic,50,0.9,117,M1,61.4810463680988
k2016,fixed,mechanistic,50,0.9,130,M0,64.243547744777
k2016,fixed,mechanistic,50,0.9,130,M1,65.5054613035258
k2016,fixed,mechanistic,50,0.9,140,M0,67.1277381783809
k2016,fixed,mechanistic,50,0.9,140,M1,68.3475013535373
k2016,fixed,mechanistic,50,0.95,100,M0,81.9331020127948
k2016,fixed,mechanistic,50,0.95,100,M1,82.8520625999992
k2016,fixed,mechanistic,50,0.95,117,M0,87.3390348520182
k2016,fixed,mechanistic,50,0.95,117,M1,88.0453398844531
k2016,fixed,mechanistic,50,0.95,130,M0,90.357576142728
k2016,fixed,mechanistic,50,0.95,130,M1,90.9316842837501
k2016,fixed,mechanistic,50,0.95,140,M0,92.1908282000718
k2016,fixed,mechanistic,50,0.95,140,M1,92.6781340573032
k2016,fixed,mechanistic,50,1,100,M0,91.4800296768546
