input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2020,35,0.95,130,M0,5000,4952,4965,4978,99.04,98.7295713029105,99.2751324903183,99.1247175126731,-0.084717512673123,TRUE
k2020,35,0.95,130,M1,5000,4956,4968,4980,99.12,98.8207847049149,99.3437962560027,99.2405078593747,-0.120507859374726,TRUE
k2020,35,0.95,140,M0,5000,4971,4983,4984,99.42,99.1682661367759,99.5958542029746,99.4474259710414,-0.0274259710413816,TRUE
k2020,35,0.95,140,M1,5000,4975,4985,4987,99.5,99.2629076527497,99.6610898546897,99.5243405581206,-0.0243405581206275,TRUE
k2020,35,1,100,M0,5000,4985,4991,4992,99.7,99.5055834044251,99.8181070222362,99.7110652772165,-0.0110652772165309,TRUE
k2020,35,1,100,M1,5000,4985,4991,4992,99.7,99.5055834044251,99.8181070222362,99.756667940861,-0.0566679408609332,TRUE
k2020,35,1,117,M0,5000,4996,4998,4998,99.92,99.7944673354156,99.9688853023898,99.9288599692789,-0.00885996927890176,TRUE
k2020,35,1,117,M1,5000,4997,4999,4998,99.94,99.8237293951471,99.9795925345806,99.9413080824726,-0.00130808247257619,TRUE
k2020,35,1,130,M0,5000,5000,5000,5000,100,99.9232298054943,100,99.976252286668,0.0237477133319715,TRUE
k2020,35,1,130,M1,5000,5000,5000,5000,100,99.9232298054943,100,99.9806995746228,0.0193004253772102,TRUE
k2020,35,1,140,M0,5000,4999,4999,4999,99.98,99.8867910919161,99.9964694216561,99.9899192008685,-0.00991920086846676,TRUE
k2020,35,1,140,M1,5000,4999,4999,4999,99.98,99.8867910919161,99.9964694216561,99.9918981736103,-0.0118981736103052,TRUE
k2020,40,0.9,100,M0,5000,3256,3438,4028,65.12,63.7878311474362,66.4289535457453,66.5659603460336,-1.44596034603354,FALSE
k2020,40,0.9,100,M1,5000,3336,3512,4078,66.72,65.401483320742,68.0128447262154,68.2233965773966,-1.50339657739663,FALSE
k2020,40,0.9,117,M0,5000,3671,3785,4344,73.42,72.1778895553891,74.6261512855045,73.3362657543253,0.083734245674691,TRUE
k2020,40,0.9,117,M1,5000,3749,3861,4376,74.98,73.7605827016671,76.1610629091578,74.8331210413369,0.146878958663137,TRUE
k2020,40,0.9,130,M0,5000,3871,3979,4493,77.42,76.2402881604873,78.5576110648458,77.6974414643046,-0.277441464304587,TRUE
k2020,40,0.9,130,M1,5000,3957,4061,4520,79.14,77.9916321873757,80.2436261432664,79.0574796704495,0.082520329550519,TRUE
k2020,40,0.9,140,M0,5000,4082,4167,4595,81.64,80.5427204240251,82.6886993968917,80.6173698413197,1.02263015868027,TRUE
k2020,40,0.9,140,M1,5000,4152,4232,4623,83.04,81.9745183747876,84.0547518806831,81.8696488466434,1.17035115335662,FALSE
k2020,40,0.95,100,M0,5000,4644,4661,4905,92.88,92.133800308678,93.5603615725139,93.3614325385686,-0.48143253856864,TRUE
k2020,40,0.95,100,M1,5000,4686,4707,4911,93.72,93.0134082688333,94.359463873091,93.9528085878347,-0.232808587834654,TRUE
k2020,40,0.95,117,M0,5000,4799,4810,4954,95.98,95.3993059543546,96.490096174778,96.2514803771606,-0.271480377160586,TRUE
k2020,40,0.95,117,M1,5000,4820,4830,4958,96.4,95.846988868514,96.8817683909847,96.6250816918333,-0.225081691833353,TRUE
k2020,40,0.95,130,M0,5000,4890,4894,4980,97.8,97.3552286601531,98.1713790338994,97.6006830872272,0.199316912772844,TRUE
k2020,40,0.95,130,M1,5000,4904,4907,4983,98.08,97.6610795358756,98.4250982450878,97.8582979559422,0.221702044057807,TRUE
k2020,40,0.95,140,M0,5000,4919,4928,4980,98.38,97.9911023529428,98.6946148068535,98.3061749051478,0.0738250948522108,TRUE
k2020,40,0.95,140,M1,5000,4924,4933,4982,98.48,98.101750739618,98.7838128797893,98.4976867074352,-0.0176867074351321,TRUE
k2020,40,1,100,M0,5000,4933,4933,4992,98.66,98.3018803556603,98.9434068910468,98.7635099687073,-0.103509968707328,TRUE
k2020,40,1,100,M1,5000,4940,4940,4993,98.8,98.4585258113237,99.0665464788387,98.9222155119049,-0.122215511904898,TRUE
k2020,40,1,117,M0,5000,4983,4983,5000,99.66,99.4561455223999,99.7876063204171,99.5657800287456,0.0942199712543612,TRUE
k2020,40,1,117,M1,5000,4988,4988,5000,99.76,99.5809448580692,99.8626534443587,99.6275689449427,0.13243105505731,TRUE
k2020,40,1,130,M0,5000,4992,4992,5000,99.84,99.6845729840895,99.9189024860272,99.8078983215437,0.0321016784563284,TRUE
k2020,40,1,130,M1,5000,4994,4994,5000,99.88,99.738422370737,99.9449916832241,99.8371328127863,0.0428671872136732,TRUE
k2020,40,1,140,M0,5000,4997,4997,5000,99.94,99.8237293951471,99.9795925345806,99.898227875177,0.0417721248230265,TRUE
k2020,40,1,140,M1,5000,4998,4998,5000,99.96,99.8542613498577,99.9890298717922,99.9144490592963,0.0455509407036772,TRUE
k2020,43,0.9,100,M0,5000,3130,3256,4102,62.6,61.2496300957825,63.9310238152021,62.319528414194,0.280471585806033,TRUE
k2020,43,0.9,100,M1,5000,3198,3327,4142,63.96,62.6189600869696,65.2796056747245,63.8927217241107,0.0672782758893149,TRUE
k2020,43,0.9,117,M0,5000,3430,3527,4316,68.6,67.2996940742354,69.8717474134085,68.9932913945488,-0.393291394548825,TRUE
k2020,43,0.9,117,M1,5000,3502,3596,4353,70.04,68.7552921170055,71.2939383890366,70.4528206402384,-0.412820640238365,TRUE
k2020,43,0.9,130,M0,5000,3737,3809,4491,74.74,73.5169596679269,75.9250544398316,73.3964269136412,1.34357308635877,FALSE
k2020,43,0.9,130,M1,5000,3812,3881,4523,76.24,75.0404196151589,77.3992913867645,74.7526604572779,1.48733954272207,FALSE
k2020,43,0.9,140,M0,5000,3803,3856,4562,76.06,74.8575003019029,77.2224870727208,76.4041513638582,-0.344151363858188,TRUE
