variant,label,n,stress_test,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_lt80_pct,extrap_nca_median,extrap_gt20_pct,reliable_pct,lambda_fail_pct,tlast_median,AUClast_geo,AUClast_logcv,AUClast_mean_78kg_pooled,AUClast_ratio_vs_obs544,gate_note,ref_note
base,기본(Kovalenko 2016),20000,FALSE,0.64110932257645,3.56833470131728,16.5895314117392,0,2.69599403464422,1.13031577880278,86.1,1.355,34.7534656280186,546.498836471852,39.9271669413539,568.151951178474,1.04439696907808,gate 범위 안,
km05_both,곡선: Km ×0.5 (양 군),20000,FALSE,0.661796872729925,3.65204843119352,17.610247230853,0,2.76639698744894,1.09059551587704,86.415,1.43,34.7072800262831,542.423480769882,40.1352508475592,561.030334507399,1.03130576196213,gate 범위 안,"Km 0.5–10배: 중앙값 0.38–0.67%, 95백분위 2.6–3.5%, 80% 미만 0"
km10_both,곡선: Km ×10 (양 군),20000,FALSE,0.391623499155314,2.7742538215115,14.0446091404601,0,1.54441126145197,0.483432369825763,86.165,0.71,35.2503318546806,551.000478504788,39.5982297219191,574.869805935095,1.05674596679245,gate 범위 안,""
km2_both,곡선: Km ×2 (양 군),20000,FALSE,0.644140941486604,3.55000165136851,17.7141566229246,0,2.66855712587045,1.22599929074421,86.39,1.305,34.7771281755995,544.435858278332,39.84781775662,564.107322419761,1.03696198974221,gate 범위 안,""
km5_both,곡선: Km ×5 (양 군),20000,FALSE,0.543869874769148,3.23871656209588,16.3715472830284,0,2.24985657653897,0.788476118271418,86.225,1.075,34.9160376039799,545.316753526739,40.0580683812345,568.39975065425,1.04485248282031,gate 범위 안,""
vmax050_both,"스트레스 테스트: Vmax ×0.5 (양 군), gate 불통과",20000,TRUE,0.631326489788786,6.41375809394017,23.0757361607129,0.035,2.32917796568069,2.19532929939491,92.91,0.015,55.0168852854986,774.830425104585,36.2622582248006,805.561226190251,1.48081107755561,"gate 불통과(±15% 밖), 스트레스 테스트","0.62% / 6.52%, 최대 31.7%, 80% 미만 0.11%"
vmax080_both,곡률: Vmax ×0.8 (양 군),20000,FALSE,0.526415304025346,2.79055750651039,14.2139424989955,0,2.2369664417846,0.44172271860255,90.5,0.39,41.343753446592,622.177500115779,38.3369209381588,643.648609892335,1.18317759171385,gate 불통과(±15% 밖),"0.53% / 2.63%, 80% 미만 0"
vmax125_both,곡률: Vmax ×1.25 (양 군),20000,FALSE,0.912389178098766,5.26673806717298,19.8932949958691,0,3.58399952822166,3.21005609806773,79.6,3.74,28.2222974561155,467.188523428501,42.1541449965627,486.663880277407,0.894602721098174,gate 범위 안,
