model,variant,resid,lloq,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,lambda_fail_pct
k2016,base,fixed,0.02,20000,41.6095017970074,27.0251704896102,56.4086379320361,17.16,99.275,84.525,80.895,14.75,0.55,4.525,84.235,4,49.8564593301436,0.278511146089711,9.0737884164514,0.554016620498615,0.0291620371767443,2.70638973615609,0,-0.0279946245453714,0.0947527467933594,0.0953426804761302,-0.0334918087537457,548.670862734275,40.002168376655,589.920017851706,36.2768009452102,34.3049898699054,38.2544317383295,570.417007917911,570.132633582031,0.724999999999994
k2016,base,fixed,0.05,20000,34.9978478439152,21.1780417735921,55.0256598056993,5.035,98.69,86.485,80.9,12.205,0.96,7.21,85.955,3,52.7358394974162,2.26715207707683,11.5129195369489,0.972742932414632,0.502782756310421,3.43891099611606,0,-0.0275513454143081,0.0949618276142947,0.095817518328104,-0.0371253591096943,546.58292118217,40.231575691804,588.093869196765,36.2768009452102,34.3049898699054,38.2544317383295,583.657443808569,570.132633582031,1.31
k2016,base,fixed,0.078,20000,34.7484493784141,20.9982860189863,49.4546310193138,3.365,98.54,87.17,80.735,11.37,1.08,8.25,86.565,3,51.9332250862594,2.74409890951039,12.148489019961,1.09600162370611,0.652050053461906,3.6326565403682,0,-0.0273778076586168,0.0950280842762153,0.0959327394376631,-0.0383728140051733,545.879959748195,40.2983880005355,587.46420811355,36.2768009452102,34.3049898699054,38.2544317383295,588.174381958956,570.132633582031,1.45999999999999
k2016,base,fixed,0.1,20000,34.7006488351617,20.9783249199158,49.3978505373001,3.205,98.52,87.55,80.9,10.97,1.115,8.52,86.915,3,51.7255379618352,2.84743387449894,12.2947414623866,1.13174989849777,0.689539761671526,3.68940053549277,0,-0.027281618798669,0.0950219603457069,0.0959609641959085,-0.0386169063795989,545.742297157082,40.3088846846426,587.336919731107,36.2768009452102,34.3049898699054,38.2544317383295,588.971763786623,570.132633582031,1.48
k2016,base,fixed,0.2,20000,34.6457984398585,20.9334727292415,49.3402018665802,3.03,98.43,88.4,81.105,10.03,1.28,9.35,87.695,3,51.620440922483,3.05962428679469,12.7949126861426,1.30041653967286,0.763532037493608,3.91685016432607,0,-0.0269789491993236,0.0950172929961382,0.0960868392020116,-0.0390132257694523,545.461115209246,40.3347071117767,587.08177096801,36.2768009452102,34.3049898699054,38.2544317383295,590.736992676998,570.132633582031,1.57000000000001
k2016,base,fixed,0.5,20000,34.4950490803458,20.8060270525049,49.1711198453559,2.635,98.12,88.985,79.77,9.135,1.88,11.92,88,3,51.4777823073787,3.74601109554842,14.3985083170906,1.91602119853241,1.00402921760323,4.56565790830522,0.005,-0.0261762992770873,0.0950972739951995,0.0965680211605999,-0.0407972506723728,544.403857345361,40.4247042329994,586.106475641014,36.2768009452102,34.3049898699054,38.2544317383295,596.438296027221,570.132633582031,1.88000000000001
k2016,base,scaled,0.02,20000,34.8163162872661,21.0844687320525,49.5563139743172,3.595,98.645,85.15,79.465,13.495,0.96,7.38,84.64,3,52.6078361802423,2.51316624620569,11.6055781163166,0.973186679507324,0.57278492546432,3.43891099611606,0,-0.0278965183088742,0.0950284156285844,0.0958426900641282,-0.0379603159120851,546.099038750556,40.2768664503809,587.658645690701,36.2770882249955,34.3062598566899,38.254810897225,586.181365221407,570.132633582031,1.35499999999999
k2016,base,scaled,0.05,20000,34.7643248091918,21.0193526260089,49.4826467086095,3.435,98.575,86.7,80.54,11.875,1.03,7.925,86.13,3,51.9959421760081,2.68044473526713,11.9418679631112,1.04488967791022,0.627702451790879,3.56521574979764,0,-0.0275811714930864,0.0950242470798349,0.0959058783880833,-0.0382451380679542,545.949854176463,40.290530859487,587.524912555472,36.276929152887,34.3056106877042,38.2546049290823,587.281354335611,570.132633582031,1.425
k2016,base,scaled,0.078,20000,34.7484493784141,20.9982860189863,49.4546310193138,3.365,98.54,87.17,80.735,11.37,1.08,8.25,86.565,3,51.9332250862594,2.74409890951039,12.148489019961,1.09600162370611,0.652050053461906,3.6326565403682,0,-0.0273778076586168,0.0950280842762153,0.0959327394376631,-0.0383728140051733,545.879959748195,40.2983880005355,587.46420811355,36.2768009452102,34.3049898699054,38.2544317383295,588.174381958956,570.132633582031,1.45999999999999
k2016,base,scaled,0.1,20000,34.724268165417,20.9897898644907,49.4411410786677,3.315,98.53,87.5,80.91,11.03,1.13,8.455,86.86,3,51.8522277478941,2.80666475892845,12.25506201887,1.14685882472343,0.674382015359681,3.67973796519863,0,-0.0272627140055396,0.095020295567245,0.0959786520885703,-0.0384784494515616,545.819735049135,40.3023373451904,587.40747361001,36.2767103410965,34.304498602876,38.2543054362611,588.577336013555,570.132633582031,1.47
k2016,base,scaled,0.2,20000,34.6760598591063,20.9417580400361,49.3885644276161,3.175,98.45,88.415,81.16,10.035,1.305,9.33,87.725,3,51.742001015744,3.01150297559257,12.792924440226,1.32554596241747,0.747344785714021,3.91685016432607,0,-0.0269585512118546,0.095056734984724,0.0961170382321504,-0.0389520229569551,545.554256778868,40.3324483042346,587.176220348457,36.2764321980361,34.3022792850328,38.2538672747736,590.432414698991,570.132633582031,1.55
k2016,base,scaled,0.5,20000,34.5215549031273,20.8151078217663,49.2327509356896,2.765,98.11,88.855,79.505,9.255,2,12.09,87.81,3,51.4167770869432,3.72634499059202,14.6294427935008,2.03852818265213,0.98889460726172,4.60455162749063,0,-0.0260160819741899,0.0952426013114725,0.0967904552358272,-0.0405679534864338,544.50852946014,40.4249356325299,586.220558968937,36.2771496025585,34.2942269034051,38.2540075039934,596.437583973136,570.132633582031,1.89
