model,lloq,timing,definition_day,n_subjects,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n,lloq_never_pct,lloq_studyday_median,lloq_studyday_p05,lloq_studyday_p95,lloq_after_day58_pct,c_start1_below_lloq_pct,len1_median,len1_p95,len2_median
k2016,0.02,nominal,1,20000,22.195,21.6244471118469,22.7762320132331,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.6100064957343,27.3071835397267,54.4147646743147,2.59,0,1.52275755509388,1.56030957455624,3.08608062445151
k2016,0.05,nominal,1,20000,20.89,20.3322150251296,21.4589653140568,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.5258136075772,27.2429805833468,54.3110406946448,2.505,0,1.4404854086298,1.47657758232411,3.00122409761861
k2016,0.078,nominal,1,20000,19.965,19.4167935739811,20.5247420319091,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0,1.3815220572994,1.4285785279045,2.94085101477083
k2016,0.1,nominal,1,20000,19.295,18.7540199854382,19.8477729487671,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4181523875963,27.1598802549227,54.1860231566803,2.44,0,1.33800847154355,1.39625937262097,2.89734773076721
k2016,0.2,nominal,1,20000,16.51,16.0018949110485,17.0309676639893,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.2286532213037,26.99504083409,53.9653896716921,2.335,0,1.15251788481324,1.26456591501051,2.71410733263424
k2016,0.5,nominal,1,20000,8.75,8.36626916891532,9.14957380571331,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,37.6854550824632,26.573226220011,53.3520970583767,2.05,0.59,0.631632208270986,0.900068372363201,2.19879645870525
k2016,0.02,nominal,2,20000,44.725,44.0369936558322,45.4150323245597,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.6100064957343,27.3071835397267,54.4147646743147,2.59,0,1.52275755509388,1.56030957455624,3.08608062445151
k2016,0.05,nominal,2,20000,43.42,42.7344031550631,44.1081240394352,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.5258136075772,27.2429805833468,54.3110406946448,2.505,0,1.4404854086298,1.47657758232411,3.00122409761861
k2016,0.078,nominal,2,20000,42.495,41.8114041646359,43.1814782965663,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0,1.3815220572994,1.4285785279045,2.94085101477083
k2016,0.1,nominal,2,20000,41.825,41.1430066459081,42.5101331436092,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4181523875963,27.1598802549227,54.1860231566803,2.44,0,1.33800847154355,1.39625937262097,2.89734773076721
k2016,0.2,nominal,2,20000,39.04,38.3660670743807,39.7181423559691,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.2286532213037,26.99504083409,53.9653896716921,2.335,0,1.15251788481324,1.26456591501051,2.71410733263424
k2016,0.5,nominal,2,20000,31.265,30.6261817422456,31.9110138487767,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,37.6854550824632,26.573226220011,53.3520970583767,2.05,0.59,0.631632208270986,0.900068372363201,2.19879645870525
k2016,0.02,windowed,1,20000,21.91,21.3421634898616,22.4886250957703,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.6100064957343,27.3071835397267,54.4147646743147,2.59,0,1.52275755509388,1.56030957455624,3.08608062445151
k2016,0.05,windowed,1,20000,20.695,20.1391968504919,21.2620583827564,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.5258136075772,27.2429805833468,54.3110406946448,2.505,0,1.4404854086298,1.47657758232411,3.00122409761861
k2016,0.078,windowed,1,20000,19.895,19.3475370243374,20.4540254666007,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0,1.3815220572994,1.4285785279045,2.94085101477083
k2016,0.1,windowed,1,20000,19.29,18.7490748527215,19.8427200018444,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4181523875963,27.1598802549227,54.1860231566803,2.44,0,1.33800847154355,1.39625937262097,2.89734773076721
k2016,0.2,windowed,1,20000,16.52,16.011768056624,17.0410906776928,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.2286532213037,26.99504083409,53.9653896716921,2.335,0,1.15251788481324,1.26456591501051,2.71410733263424
k2016,0.5,windowed,1,20000,8.92,8.53282077337099,9.32295690899857,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,37.6854550824632,26.573226220011,53.3520970583767,2.05,0.59,0.631632208270986,0.900068372363201,2.19879645870525
