model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57,lloq
k2016,base,nominal,1,current,현행,20000,7,22.195,21.6244471118469,22.7762320132331,0,0,0.0192036056104625,0,0,0.0192036056104625,16733,19.440626307297,0,0,0.02
k2016,base,nominal,2,current,현행,20000,7,44.725,44.0369936558322,45.4150323245597,0,0,0.0192036056104625,0,0,0.0192036056104625,15490,39.6707553260168,0,0,0.02
k2016,base,windowed,1,current,현행,20000,7,21.91,21.3421634898616,22.4886250957703,0,0,0.0192036056104625,0,0,0.0192036056104625,16733,20.3908444391323,0,0,0.02
k2016,base,windowed,2,current,현행,20000,7,44.415,43.7275224079513,45.1046226347954,0,0,0.0192036056104625,0,0,0.0192036056104625,15490,40.8779857972886,0,0,0.02
k2016,base,nominal,1,current,현행,20000,7,20.89,20.3322150251296,21.4589653140568,0,0,0.0192036056104625,0,0,0.0192036056104625,16749,18.2160128962923,0,0,0.05
k2016,base,nominal,2,current,현행,20000,7,43.42,42.7344031550631,44.1081240394352,0,0,0.0192036056104625,0,0,0.0192036056104625,15506,38.3270991874113,0,0,0.05
k2016,base,windowed,1,current,현행,20000,7,20.695,20.1391968504919,21.2620583827564,0,0,0.0192036056104625,0,0,0.0192036056104625,16749,19.2250283599021,0,0,0.05
k2016,base,windowed,2,current,현행,20000,7,43.2,42.5148569408493,43.8877547495137,0,0,0.0192036056104625,0,0,0.0192036056104625,15506,39.5975751322069,0,0,0.05
k2016,base,nominal,1,current,현행,20000,7,19.965,19.4167935739811,20.5247420319091,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,17.3687350835322,0,0,0.078
k2016,base,nominal,2,current,현행,20000,7,42.495,41.8114041646359,43.1814782965663,0,0,0.0192036056104625,0,0,0.0192036056104625,15517,37.3976928529999,0,0,0.078
k2016,base,windowed,1,current,현행,20000,7,19.895,19.3475370243374,20.4540254666007,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,18.472553699284,0,0,0.078
k2016,base,windowed,2,current,현행,20000,7,42.4,41.716623531829,43.0862954162238,0,0,0.0192036056104625,0,0,0.0192036056104625,15517,38.7703808725914,0,0,0.078
k2016,base,nominal,1,current,현행,20000,7,19.295,18.7540199854382,19.8477729487671,0,0,0.0192036056104625,0,0,0.0192036056104625,16765,16.6954965702356,0,0,0.1
k2016,base,nominal,2,current,현행,20000,7,41.825,41.1430066459081,42.5101331436092,0,0,0.0192036056104625,0,0,0.0192036056104625,15522,36.6640896791651,0,0,0.1
k2016,base,windowed,1,current,현행,20000,7,19.29,18.7490748527215,19.8427200018444,0,0,0.0192036056104625,0,0,0.0192036056104625,16765,17.8944229048613,0,0,0.1
k2016,base,windowed,2,current,현행,20000,7,41.795,41.1130814226658,42.4800698890149,0,0,0.0192036056104625,0,0,0.0192036056104625,15522,38.1394150238371,0,0,0.1
k2016,base,nominal,1,current,현행,20000,7,16.51,16.0018949110485,17.0309676639893,0,0,0.0192036056104625,0,0,0.0192036056104625,16784,14.0431363203051,0,0,0.2
k2016,base,nominal,2,current,현행,20000,7,39.04,38.3660670743807,39.7181423559691,0,0,0.0192036056104625,0,0,0.0192036056104625,15541,33.775175342642,0,0,0.2
k2016,base,windowed,1,current,현행,20000,7,16.52,16.011768056624,17.0410906776928,0,0,0.0192036056104625,0,0,0.0192036056104625,16784,15.2824118207817,0,0,0.2
k2016,base,windowed,2,current,현행,20000,7,39.025,38.3511166791785,39.703098512253,0,0,0.0192036056104625,0,0,0.0192036056104625,15541,35.2937391416254,0,0,0.2
k2016,base,nominal,1,current,현행,20000,7,8.75,8.36626916891532,9.14957380571331,0,0,0.0192036056104625,0,0,0.0192036056104625,16862,6.93274819119915,0,0,0.5
k2016,base,nominal,2,current,현행,20000,7,31.265,30.6261817422456,31.9110138487767,0,0,0.0192036056104625,0,0,0.0192036056104625,15619,25.9939816889686,0,0,0.5
k2016,base,windowed,1,current,현행,20000,7,8.92,8.53282077337099,9.32295690899857,0,0,0.0192036056104625,0,0,0.0192036056104625,16862,8.09512513343613,0,0,0.5
k2016,base,windowed,2,current,현행,20000,7,31.395,30.7554317981534,32.0417138634942,0,0,0.0192036056104625,0,0,0.0192036056104625,15619,27.5945963249888,0,0,0.5
k2020,base,nominal,1,current,현행,20000,7,20.865,20.3074680055959,21.4337219353933,0,0,0.0192036056104625,0,0,0.0192036056104625,17226,18.820387785905,0,0,0.02
k2020,base,nominal,2,current,현행,20000,7,43.09,42.4050890043729,43.7775649339224,0,0,0.0192036056104625,0,0,0.0192036056104625,16431,39.8941026109184,0,0,0.02
k2020,base,windowed,1,current,현행,20000,7,21.12,20.5599026677064,21.6911893348943,0,0,0.0192036056104625,0,0,0.0192036056104625,17226,20.0568907465459,0,0,0.02
k2020,base,windowed,2,current,현행,20000,7,43.485,42.7992717178778,44.1732305119333,0,0,0.0192036056104625,0,0,0.0192036056104625,16431,41.3608423102672,0,0,0.02
k2020,base,nominal,1,current,현행,20000,7,19.645,19.1002140525169,20.2014444564492,0,0,0.0192036056104625,0,0,0.0192036056104625,17249,17.6995767870601,0,0,0.05
k2020,base,nominal,2,current,현행,20000,7,41.87,41.1878949677482,42.5552275385241,0,0,0.0192036056104625,0,0,0.0192036056104625,16454,38.6896803208946,0,0,0.05
k2020,base,windowed,1,current,현행,20000,7,19.87,19.3228031881795,20.4287689045614,0,0,0.0192036056104625,0,0,0.0192036056104625,17249,18.8532668560496,0,0,0.05
k2020,base,windowed,2,current,현행,20000,7,42.235,41.5520106952371,42.9209716247142,0,0,0.0192036056104625,0,0,0.0192036056104625,16454,40.0692840646651,0,0,0.05
k2020,base,nominal,1,current,현행,20000,7,18.825,18.2892396807743,19.3727337673238,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,16.8974106470486,0,0,0.078
k2020,base,nominal,2,current,현행,20000,7,41.05,40.3700219234687,41.7334155219356,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,37.8309448627642,0,0,0.078
k2020,base,windowed,1,current,현행,20000,7,19.045,18.5067806966672,19.5951082555663,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,18.0559578288826,0,0,0.078
k2020,base,windowed,2,current,현행,20000,7,41.41,40.7290641476736,42.0942350317703,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,39.2154481418509,0,0,0.078
k2020,base,nominal,1,current,현행,20000,7,18.245,17.7158579681165,18.7863382418067,0,0,0.0192036056104625,0,0,0.0192036056104625,17271,16.3395286897111,0,0,0.1
k2020,base,nominal,2,current,현행,20000,7,40.47,39.791644392141,41.1520158150883,0,0,0.0192036056104625,0,0,0.0192036056104625,16476,37.2359796067007,0,0,0.1
k2020,base,windowed,1,current,현행,20000,7,18.405,17.8740123468535,18.9481224115318,0,0,0.0192036056104625,0,0,0.0192036056104625,17271,17.4338486480227,0,0,0.1
k2020,base,windowed,2,current,현행,20000,7,40.77,40.0907929237444,41.4527520618513,0,0,0.0192036056104625,0,0,0.0192036056104625,16476,38.553046856033,0,0,0.1
k2020,base,nominal,1,current,현행,20000,7,15.655,15.1579964942619,16.1651944624319,0,0,0.0192036056104625,0,0,0.0192036056104625,17299,13.7811434186947,0,0,0.2
k2020,base,nominal,2,current,현행,20000,7,37.88,37.2101024133711,38.5545525406289,0,0,0.0192036056104625,0,0,0.0192036056104625,16504,34.5189045079981,0,0,0.2
k2020,base,windowed,1,current,현행,20000,7,15.825,15.3257482219109,16.3373774425238,0,0,0.0192036056104625,0,0,0.0192036056104625,17299,14.9893057402162,0,0,0.2
k2020,base,windowed,2,current,현행,20000,7,38.19,37.5189843178656,38.8655515737796,0,0,0.0192036056104625,0,0,0.0192036056104625,16504,35.9549200193892,0,0,0.2
k2020,base,nominal,1,current,현행,20000,7,8.62,8.23893603757241,9.01695686643081,0,0,0.0192036056104625,0,0,0.0192036056104625,17414,7.15516251292064,0,0,0.5
k2020,base,nominal,2,current,현행,20000,7,30.83,30.1937340103615,31.4736286520296,0,0,0.0192036056104625,0,0,0.0192036056104625,16619,27.4204224080871,0,0,0.5
k2020,base,windowed,1,current,현행,20000,7,8.605,8.22424544581802,9.00165321926688,0,0,0.0192036056104625,0,0,0.0192036056104625,17414,8.08544848972091,0,0,0.5
k2020,base,windowed,2,current,현행,20000,7,30.945,30.3080528329144,31.5892656611837,0,0,0.0192036056104625,0,0,0.0192036056104625,16619,28.6960707623804,0,0,0.5
