scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi
S00,0.078,scaled,M0,G2_Aii,5000,4956,99.12,98.8207847049149,99.3437962560027,0,0,0
S00,0.1,scaled,M0,G2_Aii,5000,4958,99.16,98.8665849834927,99.3779345612694,0.04,-0.0383985593816021,0.118398559381602
S00,0.2,scaled,M0,G2_Aii,5000,4957,99.14,98.8436678159993,99.3608824368405,0.02,-0.110021123640996,0.150021123640996
S00,0.5,scaled,M0,G2_Aii,5000,4963,99.26,98.9817257800601,99.4626402243129,0.14,-0.0710800197944514,0.351080019794451
S00,0.02,scaled,M0,G2_B,5000,4987,99.74,99.555641710489,99.8479873000167,-0.04,-0.0954306079724255,0.0154306079724255
S00,0.05,scaled,M0,G2_B,5000,4986,99.72,99.5305274261626,99.8331322924209,-0.06,-0.127881560940694,0.00788156094069432
S00,0.078,scaled,M0,G2_B,5000,4989,99.78,99.606459135064,99.8771084592861,0,0,0
S00,0.1,scaled,M0,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.02,-0.0591992796908011,0.0191992796908011
S00,0.2,scaled,M0,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.02,-0.0878996711420279,0.0478996711420279
S00,0.5,scaled,M0,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.02,-0.107659267360122,0.0676592673601224
S00,0.02,scaled,M0,P2,5000,4976,99.52,99.2867448872545,99.6772219121071,0.02,-0.0191992796908011,0.0591992796908011
S00,0.05,scaled,M0,P2,5000,4976,99.52,99.2867448872545,99.6772219121071,0.02,-0.0191992796908011,0.0591992796908011
S00,0.078,scaled,M0,P2,5000,4975,99.5,99.2629076527497,99.6610898546897,0,0,0
S00,0.1,scaled,M0,P2,5000,4975,99.5,99.2629076527497,99.6610898546897,0,0,0
S00,0.2,scaled,M0,P2,5000,4975,99.5,99.2629076527497,99.6610898546897,0,-0.0554416974209654,0.0554416974209654
S00,0.5,scaled,M0,P2,5000,4973,99.46,99.2154530717688,99.6286058518262,-0.04,-0.136021434721777,0.056021434721777
S00,0.02,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.05,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.078,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.1,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.2,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.5,fixed,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.02,fixed,M1,AUClast_only,5000,4984,99.68,99.4807939169294,99.8029272178098,0.04,-0.0154306079724254,0.0954306079724254
S00,0.05,fixed,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,-0.0554416974209654,0.0554416974209654
S00,0.078,fixed,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,0,0
S00,0.1,fixed,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,0,0
S00,0.2,fixed,M1,AUClast_only,5000,4984,99.68,99.4807939169294,99.8029272178098,0.04,-0.0154306079724254,0.0954306079724254
S00,0.5,fixed,M1,AUClast_only,5000,4981,99.62,99.4072271440611,99.7565861149114,-0.02,-0.107659267360122,0.0676592673601224
S00,0.02,fixed,M1,G2_Aii,5000,4946,98.92,98.5936070182191,99.1712810234765,-0.26,-0.510919469655462,-0.0090805303445381
S00,0.05,fixed,M1,G2_Aii,5000,4959,99.18,98.8895373930081,99.3949514436761,0,-0.123971404221253,0.123971404221253
S00,0.078,fixed,M1,G2_Aii,5000,4959,99.18,98.8895373930081,99.3949514436761,0,0,0
S00,0.1,fixed,M1,G2_Aii,5000,4961,99.22,98.9355530414436,99.428874379085,0.04,-0.0708778505335775,0.150877850533578
S00,0.2,fixed,M1,G2_Aii,5000,4967,99.34,99.0745942433854,99.5296489286764,0.16,0.036107962883054,0.283892037116946
S00,0.5,fixed,M1,G2_Aii,5000,4971,99.42,99.1682661367759,99.5958542029746,0.24,0.0562410886950223,0.423758911304978
