scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,class
F_down_080,0.02,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.05,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.078,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.1,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.2,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.5,fixed,M0,AUCinf_true_only,5000,242,4.84,4.27903040886361,5.47030843081395,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,nominal
F_down_080,0.02,fixed,M0,AUClast_only,5000,213,4.26,3.73445246956949,4.85577690436434,0.26,0.118834724980511,0.401165275019489,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,conservative
F_down_080,0.05,fixed,M0,AUClast_only,5000,208,4.16,3.64082974760661,4.74955316671623,0.16,0.036107962883054,0.283892037116946,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,conservative
F_down_080,0.078,fixed,M0,AUClast_only,5000,200,4,3.49121444023272,4.57941413871254,0,0,0,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,conservative
F_down_080,0.1,fixed,M0,AUClast_only,5000,200,4,3.49121444023272,4.57941413871254,0,-0.0554416974209654,0.0554416974209654,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,conservative
