model,resid,lloq,tlast_planned,N,pct
k2020,scaled,0.05,21,969,4.845
k2020,scaled,0.05,28,4302,21.51
k2020,scaled,0.05,35,6420,32.1
k2020,scaled,0.05,42,4835,24.175
k2020,scaled,0.05,49,2312,11.56
k2020,scaled,0.05,56,1127,5.635
k2020,scaled,0.078,14,36,0.18
k2020,scaled,0.078,21,988,4.94
k2020,scaled,0.078,28,4338,21.69
k2020,scaled,0.078,35,6423,32.115
k2020,scaled,0.078,42,4819,24.095
k2020,scaled,0.078,49,2291,11.455
k2020,scaled,0.078,56,1105,5.525
k2020,scaled,0.1,14,37,0.185
k2020,scaled,0.1,21,1000,5
k2020,scaled,0.1,28,4358,21.79
k2020,scaled,0.1,35,6435,32.175
k2020,scaled,0.1,42,4795,23.975
k2020,scaled,0.1,49,2273,11.365
k2020,scaled,0.1,56,1102,5.51
k2020,scaled,0.2,14,41,0.205
k2020,scaled,0.2,21,1054,5.27
k2020,scaled,0.2,28,4459,22.295
k2020,scaled,0.2,35,6441,32.205
k2020,scaled,0.2,42,4746,23.73
k2020,scaled,0.2,49,2207,11.035
k2020,scaled,0.2,56,1052,5.26
k2020,scaled,0.5,14,54,0.27
k2020,scaled,0.5,21,1209,6.045
k2020,scaled,0.5,28,4712,23.56
k2020,scaled,0.5,35,6517,32.585
k2020,scaled,0.5,42,4535,22.675
k2020,scaled,0.5,49,2040,10.2
k2020,scaled,0.5,56,933,4.665
