schedule,n,reliable_gain_pp,reliable_gain_lo,reliable_gain_hi,reliable_mcnemar_p,extrap_gt20_change_pp,extrap_gt20_only_ref,extrap_gt20_only_sched,extrap_gt20_mcnemar_p,extrap_gt20_ratio,lambda_ok_change_pp,extrap_true_median_change,auclast_err_inf_sd_ratio,c_gain_boot_lo,c_gain_boot_hi,d_ratio_boot_lo,d_ratio_boot_hi,d_n_ref,d_n_sched,d_n_subjects
Bminus,20000,-0.065,-0.255284205508348,0.125284205508348,0.536610617132125,0.315,0,63,2.16840434497101e-19,1.29439252336449,-0.0149999999999983,0,1.00139315653336,-0.265,0.12,1.21794444444444,1.39024970963995,214,277,20000
D1,20000,0.48,0.104311828975023,0.855688171024977,0.0131930396385205,-0.0949999999999999,20,1,2.09808349609375e-05,0.911214953271028,0.0549999999999939,0,0.997344542639579,0.1,0.850124999999999,0.868680223285487,0.94954128440367,214,195,20000
D2,20000,0.385,7.3179195228491e-05,0.769926820804772,0.052982618437219,-0.09,22,4,0.000533521175384522,0.91588785046729,0.0649999999999928,0,0.9972727892868,0.015,0.775,0.868180569430569,0.959464004363107,214,196,20000
D3,20000,2.89,2.38499766337174,3.39500233662826,3.80307476516689e-29,-0.435,92,5,8.59076568735838e-22,0.593457943925234,0.529999999999997,0,0.983238595631542,2.375,3.385125,0.522809073058684,0.660635504201681,214,127,20000
D4,20000,-0.185,-0.540646496233991,0.170646496233991,0.321200338152923,-0.0799999999999999,17,1,0.00014495849609375,0.925233644859813,0.0399999999999956,0,0.998100676072575,-0.540125,0.185124999999999,0.889409722222222,0.960985035937316,214,198,20000
