pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Aiv,10000,0.149438946062137,0.0726149470857831,-7.17103780802864,0.0726149470857831,toward_1,A_iv
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Ciii,10000,0.228768465013699,0.047226779641212,0.493012994430431,0.047226779641212,away_from_1,C_iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Ciii,10000,0.228774166354799,0.0472149477606883,0.493585941008989,0.0472149477606883,away_from_1,C_iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Civ,10000,0.233442690108901,0.0472929522187445,0.963839474903971,0.0472929522187445,away_from_1,C_iv
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Civ,10000,0.2334483540926,0.0472805069075694,0.964411334064508,0.0472805069075694,away_from_1,C_iv
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Aiii,10000,-0.178910992741246,0.0627881588449693,4.59873332634604,0.0627881588449693,toward_1,A_iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Aiii,10000,-0.180156147890511,0.0621209476421118,4.46857272682535,0.0621209476421118,toward_1,A_iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Aiv,10000,-0.175278130422235,0.0891866416372925,4.97941719061772,0.0891866416372925,toward_1,A_iv
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Aiv,10000,-0.176658984743908,0.0878115763169698,4.83455594785784,0.0878115763169698,toward_1,A_iv
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Ciii,10000,-0.2352118194559,0.0510553756819374,-1.12755202333581,0.0510553756819374,away_from_1,C_iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Ciii,10000,-0.2352063533734,0.0510411128028199,-1.12701157690108,0.0510411128028199,away_from_1,C_iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Civ,10000,-0.240500122367299,0.0511983910306013,-1.64903937096648,0.0511983910306013,away_from_1,C_iv
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Civ,10000,-0.240494326186898,0.0511851043724014,-1.64846930940398,0.0511851043724014,away_from_1,C_iv
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Aiii,10000,-0.141583766991644,0.0709786499275304,8.59317843276852,0.0709786499275304,toward_1,A_iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Aiii,10000,-0.143343556327913,0.0702128434606323,8.40224536563314,0.0702128434606323,toward_1,A_iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Aiv,10000,-0.129339443799967,0.103119467824756,9.93100206414939,0.103119467824756,toward_1,A_iv
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Aiv,10000,-0.130389713147409,0.101866641460586,9.81560551168628,0.101866641460586,toward_1,A_iv
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Ciii,10000,-0.228718857429499,0.0595028856530062,-0.468567241745432,0.0595028856530062,away_from_1,C_iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Ciii,10000,-0.2287159336266,0.0594881140528186,-0.468276231028286,0.0594881140528186,away_from_1,C_iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Civ,10000,-0.2301557953421,0.0597006970172238,-0.611485024389791,0.0597006970172238,away_from_1,C_iv
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Civ,10000,-0.2301527882249,0.059686422174274,-0.61118615102761,0.059686422174274,away_from_1,C_iv
