population,variant,distribution,band,set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05
60-90 kg (study inclusion range),base,study_60_90,all,i,20000,13.435,1.46,11.975,15.71895,76.0155831657742,74.8816554068378,1.13392775893638,0.843862070551382,1.42399344732138,0.78301634059572,0.747069622086527,0.645063425855552,0.929104483016675,0.774035272344773
60-90 kg (study inclusion range),base,study_60_90,all,ii,20000,19.265,1.46,17.805,22.54005,75.8060818894789,74.8497639502604,0.956317939218451,0.704732504926194,1.20790337351071,0.808006002789137,1.48559178322917,0.573768410976028,0.930176765389345,0.778787371476542
60-90 kg (study inclusion range),base,study_60_90,all,iii,20000,38.76,1.46,37.3,45.3492,75.2887336245781,74.8727717968066,0.415961827771483,0.211793587106048,0.620130068436918,0.909969139514214,0.371576041427862,0.781813175337459,0.951491753109276,0.796902956835756
60-90 kg (study inclusion range),base,study_60_90,all,iv,20000,65.85,1.46,64.39,77.0445,75.1968441649005,74.7199903914022,0.476853773498291,0.268155913861424,0.685551633135159,0.908856900461946,0.943587219625824,0.386295559433364,0.953485194271882,0.803233100330006
60-90 kg (study inclusion range),struct2020,study_60_90,all,i,20000,8.165,0.615,7.55,9.55305,75.6898296112269,74.8792117037137,0.810617907513148,0.443704707191664,1.17753110783463,0.771529285293624,0.0397030552627298,0.67727895676919,0.953630052378134,0.847623717171895
60-90 kg (study inclusion range),struct2020,study_60_90,all,ii,20000,16.085,0.615,15.47,18.81945,75.404067671537,74.8574800344342,0.546587637102775,0.273971118612534,0.819204155593015,0.827706814064377,1.65936366146702,0.578892252041074,0.949087517481932,0.854390243142679
60-90 kg (study inclusion range),struct2020,study_60_90,all,iii,20000,33.215,0.615,32.6,38.86155,75.1789060127052,74.8292655891924,0.349640423512781,0.138765208408859,0.560515638616704,0.891153763621704,0.145166469116476,0.889275287603142,0.96480552753282,0.868280047913321
60-90 kg (study inclusion range),struct2020,study_60_90,all,iv,20000,72.45,0.615,71.835,84.7665,75.054436196059,74.6586556508801,0.395780545178837,0.172543818757203,0.619017271600472,0.896790454623057,0.890968654331137,0.361965035719175,0.96332501517896,0.869359964066996
adult atopic dermatitis,base,primary,all,i,20000,14.915,1.885,13.03,17.45055,83.8044167412938,77.3876727100924,6.41674403120136,5.63670014869503,7.1967879137077,0.715212799597101,1.08229380955619,0.659581920006636,0.931073637725109,0.774116728266465
adult atopic dermatitis,base,primary,all,ii,20000,21.025,1.885,19.14,24.59925,82.8673108046098,77.1407128656877,5.72659793892206,5.04788291569378,6.40531296215033,0.753421006121758,1.66467085800766,0.580146854063979,0.932298929719862,0.778939370230951
adult atopic dermatitis,base,primary,all,iii,20000,39.465,1.885,37.58,46.17405,80.1534452611688,77.1655619228972,2.98788333827167,2.44860766989477,3.52715900664858,0.867417442918993,0.461316395740408,0.78740092646995,0.953239857977026,0.798586302201489
adult atopic dermatitis,base,primary,all,iv,20000,66.445,1.885,64.56,77.74065,79.4253912493286,76.2048245171499,3.22056673217872,2.67827036206453,3.76286310229292,0.874925323407833,1.01248042435174,0.377983342741683,0.954345739771143,0.802572015989725
adult atopic dermatitis,struct2020,primary,all,i,20000,8.875,1.01,7.865,10.38375,83.5197390049958,77.8407168676573,5.67902213733856,4.70351646882079,6.65452780585634,0.69660520596757,0.108334197450177,0.698120620033293,0.947365146068613,0.842999944803966
adult atopic dermatitis,struct2020,primary,all,ii,20000,17.26,1.01,16.25,20.1942,82.129235092184,77.5552623947729,4.57397269741109,3.84517028240524,5.30277511241695,0.769418655740561,1.96061185649988,0.588489271236425,0.944232131101175,0.845819670738376
adult atopic dermatitis,struct2020,primary,all,iii,20000,33.61,1.01,32.6,39.3237,80.1361379222642,77.4378281769439,2.69830974532026,2.13911662376169,3.25750286687883,0.849903630179473,0.168433394299927,0.903332172071514,0.962741871004458,0.863480323571522
adult atopic dermatitis,struct2020,primary,all,iv,20000,72.66,1.01,71.65,85.0122,79.1630983833333,76.1697980871109,2.99330029622233,2.41708009016567,3.56952050227899,0.868356347733825,0.958131255520028,0.361736142629859,0.961641559729328,0.866141875148212
adult atopic dermatitis,k2016_bmi_vc0817,primary,all,i,20000,15.335,2.16,13.175,17.94195,84.7234595427287,77.1893788005299,7.53408074219884,6.75454279909402,8.31361868530366,0.679705907015392,1.25913726807693,0.669978602317556,0.929858265955237,0.76837699676791
adult atopic dermatitis,k2016_bmi_vc0817,primary,all,ii,20000,21.83,2.16,19.67,25.5411,83.1589139049241,77.0003059701946,6.15860793472945,5.48103646495508,6.83617940450381,0.736177855207389,1.80187667953513,0.578946280121395,0.931494661505446,0.777237689872634
adult atopic dermatitis,k2016_bmi_vc0817,primary,all,iii,20000,39.755,2.16,37.595,46.51335,80.3055128083797,77.0508315468084,3.25468126157124,2.71543477887291,3.79392774426956,0.854149083541413,0.51039438970556,0.786019391134918,0.950653624451723,0.795166077133553
adult atopic dermatitis,k2016_bmi_vc0817,primary,all,iv,20000,66.93,2.16,64.77,78.3081,79.2054755168988,76.6026771057929,2.60279841110594,2.0629646108991,3.14263221131278,0.881443535205749,1.0441297836745,0.377540400741422,0.953073253513944,0.802508379822915
