model,group,n,extrap_true_median,extrap_true_p95,coverage_lt80_pct,coverage_true_median,coverage_true_p05,extrap_nca_median,extrap_nca_p95,extrap_nca_gt20_pct,lambda_ok_pct,reliable_pct,err_AUClast_vs_inf_true_median_pct
k2016,전체,20000,0.640601750827202,3.60910211664304,0,99.3593982491728,96.390897883357,2.71439268269691,12.0666012847204,1.08568819440921,98.555,86.63,-3.75244552184609
k2016,체중 60-75,9948,0.60913259821323,3.31365389567823,0,99.3908674017868,96.6863461043218,2.58623974391358,11.2554144944683,0.925078784182169,98.8841978287093,87.9674306393245,-3.64918787738925
k2016,체중 >75-90,10052,0.684742540057115,3.9004149367691,0,99.3152574599429,96.0995850632309,2.83535518778645,12.6775723082783,1.24569576665992,98.2292081177875,85.3064066852368,-3.87563363242851
k2020,전체,20000,0.640432458066575,3.39395356972998,0,99.3595675419334,96.60604643027,2.76634146372481,12.441478716728,1.15035317860747,99.1,85.055,-3.68679658314255
k2020,체중 60-75,10081,0.588075690151269,3.11681407416912,0,99.4119243098487,96.8831859258309,2.61135208367666,11.7096291620772,0.91779728651237,99.4345799027874,86.1720067453626,-3.56006569728918
k2020,체중 >75-90,9919,0.695777799693098,3.65392022190848,0,99.3042222003069,96.3460797780915,2.92604677120496,13.1636028634176,1.3883217639853,98.7599556406896,83.9197499747959,-3.82951541499109
