endpoint,scenario,GMR_mean,pass_rate,width_mean_pp,GMR_ref,pass_ref,width_ref,model,GMR_change_pct,pass_change_pp,width_change_pp
AUCinf_all,KM05,1.00072572227629,100,15.9411433525643,1.00049721092054,100,15.940332014242,k2016,0.0228397793872848,0,0.000811338322300514
AUCinf_all,KM10,0.992176166868002,99.8,15.8693862553316,1.00049721092054,100,15.940332014242,k2016,-0.831690879466007,-0.200000000000003,-0.0709457589103995
AUCinf_all,KM2,0.999943726926047,100,15.9551339133416,1.00049721092054,100,15.940332014242,k2016,-0.0553208932970062,0,0.0148018990996004
AUCinf_all,KM5,0.997175160916111,100,15.9048379638046,1.00049721092054,100,15.940332014242,k2016,-0.332039906575288,0,-0.0354940504374
AUCinf_reliable,KM05,1.00112302866658,99.8,16.7473120238451,1.00069689433254,99.8,16.7442875841468,k2016,0.0425837570250609,0,0.0030244396983008
AUCinf_reliable,KM10,0.988799009216201,99.6,16.6781117687192,1.00069689433254,99.8,16.7442875841468,k2016,-1.18895993219554,-0.200000000000003,-0.0661758154275987
AUCinf_reliable,KM2,0.99980293464357,99.6,16.7421446248518,1.00069689433254,99.8,16.7442875841468,k2016,-0.0893337127388927,-0.200000000000003,-0.00214295929499997
AUCinf_reliable,KM5,0.99579005567236,99.6,16.7060664535543,1.00069689433254,99.8,16.7442875841468,k2016,-0.490342149353118,-0.200000000000003,-0.0382211305925004
AUCinf_true,KM05,0.999435787114927,100,15.7137472490818,0.999806143414942,100,15.7167249739326,k2016,-0.0370428109943477,0,-0.00297772485079939
AUCinf_true,KM10,1.00601494802732,100,15.7701295869622,0.999806143414942,100,15.7167249739326,k2016,0.62100084634118,0,0.0534046130296009
AUCinf_true,KM2,1.00052960339317,100,15.7226702466252,0.999806143414942,100,15.7167249739326,k2016,0.0723600252902079,0,0.0059452726925997
AUCinf_true,KM5,1.00263210696013,100,15.7404805735178,0.999806143414942,100,15.7167249739326,k2016,0.282651148305169,0,0.0237555995852006
AUClast,KM05,1.00012990871494,100,16.6505528086278,1.0006077713582,100,16.6547537024746,k2016,-0.0477572388440817,0,-0.00420089384680011
AUClast,KM10,1.0096339725119,99.6,16.7276841512025,1.0006077713582,100,16.6547537024746,k2016,0.902071861929277,-0.400000000000006,0.0729304487278988
AUClast,KM2,1.00156977443969,100,16.6620561684551,1.0006077713582,100,16.6547537024746,k2016,0.0961418758705257,0,0.00730246598049789
AUClast,KM5,1.00452131790523,99.8,16.686082084887,1.0006077713582,100,16.6547537024746,k2016,0.391116945026093,-0.200000000000003,0.0313283824124007
Cmax,KM05,0.9997271580258,100,14.310414969981,0.999820802821569,100,14.3100992209282,k2016,-0.00936615796598428,0,0.00031574905280074
Cmax,KM10,1.00120418432201,100,14.3061351385743,0.999820802821569,100,14.3100992209282,k2016,0.138362944293324,0,-0.00396408235389956
Cmax,KM2,0.999995779278206,100,14.3095337783315,0.999820802821569,100,14.3100992209282,k2016,0.0175007817544204,0,-0.000565442596698773
Cmax,KM5,1.00047566890587,100,14.3080945741887,0.999820802821569,100,14.3100992209282,k2016,0.065498345548809,0,-0.00200464673949874
AUCinf_all,KM05,1.00104820148357,100,15.9378452614255,1.00087163390826,100,15.9358267716845,k2020,0.017641380705391,0,0.00201848974099939
AUCinf_all,KM10,0.994143492412399,100,15.9037472378346,1.00087163390826,100,15.9358267716845,k2020,-0.672228212681836,0,-0.0320795338499007
AUCinf_all,KM2,1.0002804247763,100,15.9328650211826,1.00087163390826,100,15.9358267716845,k2020,-0.0590694262811109,0,-0.00296175050189973
AUCinf_all,KM5,0.998241079269342,100,15.9212236645171,1.00087163390826,100,15.9358267716845,k2020,-0.262826375510916,0,-0.0146031071673995
AUCinf_reliable,KM05,1.00176213848251,99.6,16.9500907785856,1.00151467879208,99.4,16.9427609211516,k2020,0.0247085435361338,0.199999999999989,0.0073298574340015
AUCinf_reliable,KM10,0.992086166185472,99.6,16.9220661005516,1.00151467879208,99.4,16.9427609211516,k2020,-0.941425303718924,0.199999999999989,-0.0206948205999993
AUCinf_reliable,KM2,1.00091342180364,99.6,16.9484798623888,1.00151467879208,99.4,16.9427609211516,k2020,-0.0600347654579614,0.199999999999989,0.00571894123720185
AUCinf_reliable,KM5,0.99789020121023,99.6,16.9374233843812,1.00151467879208,99.4,16.9427609211516,k2020,-0.361899596541249,0.199999999999989,-0.00533753677039783
AUCinf_true,KM05,0.999370186397682,100,15.7086138207348,0.999808212951039,100,15.712343186243,k2020,-0.0438110577291706,0,-0.00372936550819958
