scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd,weight_shape
F090,XV_prev,500,15.4,86,90.4,1.8,12.2,0.843103064329591,0.976646048219936,-0.0180957682697125,0.0310539980130492,uniform_50_115
KM10,XV_prev,500,97,95.8,98.4,3,1.2,0.862264152801162,0.976452696312157,0.0257024074897789,0.0290621570574842,uniform_50_115
S00,XV_prev,500,97.6,97.6,99.6,1.8,0.6,0.859219889286766,0.976550816783641,-0.000316924038527315,0.0290654710775425,uniform_50_115
VM125,XV_prev,500,25.6,71.8,78.8,1,27.2,0.807374814146891,0.977212096438559,-0.041758061325199,0.0349551341083378,uniform_50_115
