weight_shape,schedule,extrap_median,extrap_true_median,reliable_pct,lambda_ok_pct,extrap_gt20_pct
normal78_sd12_50_115,B0,2.78729484776774,0.671193588538083,85.49,98.5,1.19289340101523
normal78_sd12_50_115,XV_B0_dens,2.16565015105561,0.448775707621973,85.39,98.54,1.18733509234828
normal78_sd12_50_115,XV_prev,2.80517692020277,0.671193588538083,86.645,98.845,1.21908037837018
normal78_sd12_50_115,XV_prev_dens,2.18859695025698,0.448775707621973,86.53,98.875,1.21871049304678
uniform_50_115,B0,2.86607174500394,0.695300430249368,84.89,97.965,1.41887408768438
uniform_50_115,XV_B0_dens,2.25715459423027,0.469499568588633,84.755,98,1.38775510204082
uniform_50_115,XV_prev,2.88371525629757,0.695300430249368,86.29,98.425,1.43256286512573
uniform_50_115,XV_prev_dens,2.28265984967238,0.469499568588633,86.08,98.455,1.40673404093241
