study,arm,auclast_mean,auclast_sd,tmax_median,model_mean_300mg_78kg,ratio_model_to_arm
PKM12350,test,487.5,199.6,7,608.412607698231,1.24802586194509
PKM12350,reference,500,179.2,7,608.412607698231,1.21682521539646
PKM14161,test,587,302,7,608.412607698231,1.03647803696462
PKM14161,reference,575,235,7,608.412607698231,1.05810888295345
HV-1108,test,630,223,5,608.412607698231,0.9657342979337
HV-1108,reference,530,233,6.9,608.412607698231,1.14794831641176
