id,gate_role,dose_mg,presentation,n_obs,wt_mean,AUClast_obs_mean,AUClast_sim_mean,AUClast_ratio,AUClast_z,AUClast_se_obs_pct,AUClast_sim_geo,AUClast_obs_geo,AUClast_sim_logcv,AUClast_obs_cv_arith,Cmax_obs_mean,Cmax_sim_mean,Cmax_ratio,Cmax_sim_logcv,tmax_obs_median,tmax_sim_median,AUCinf_obs_mean,AUCinf_sim_mean_reliable,tlast_sim_median,pass_mean,pass_cv,dev,schedule
clot300_nonasian_pooled,gate,300,2 mL of 150 mg/mL,40,78,544,613.718328394095,1.12815869190091,2.0226487374764,6.3361813411462,562.498065902476,,45.2490287189074,40.0735294117647,32,33.0048538125605,1.03140168164252,35.2205570401482,7,7,,666.728900479468,35,TRUE,TRUE,partial,as0907+pkm12350+pkm14161
clot300_japanese_TDU12265,gate,300,2 mL of 150 mg/mL,6,64,700,758.440421674272,1.08348631667753,0.611748775448946,13.6471571383634,698.970334729599,,46.5893740326036,33.4285714285714,38.3,38.1677589921284,0.996547232170453,34.3575149180878,,7,,789.416765349717,42,TRUE,TRUE,internal,tdu12265
clot300_chinese,gate,300,2 mL of 150 mg/mL,8,59.9,792,804.240436150867,1.01545509615009,0.106199943643672,14.5528289562383,741.227056040802,710,42.904968518264,41.1616161616162,37.2,39.8526456477734,1.07130767870359,33.443210748507,7,7,807,831.01494202303,42,TRUE,TRUE,external,clot
clot600_chinese,gate,600,2 x 300 mg,8,58.3,2110,2182.88450027786,1.0345424171933,0.423302869731966,8.16021332791111,2058.9630644936,,35.7208465796663,23.0805687203792,77.3,87.0679563048908,1.12636424715253,30.0627300552332,,7,,2084.6935071034,56,TRUE,TRUE,external,clot
clot600_japanese,gate,600,2 x 300 mg,,64,1780,2013.2180314593,1.13102136598837,,,1895.94808212747,,37.4646815683854,39.2696629213483,70.1,81.6714399274433,1.16507046972102,30.250392697282,,7,,1924.19683894216,56,TRUE,TRUE,internal,tdu12265
PKM14271_200mg_test,external,200,1.14 mL of 175 mg/mL,19,80,339,304.935488722525,0.89951471599565,-1.16002939234074,8.66230499570263,272.935296462474,,51.7853088231727,37.7581120943953,23.2,19.944828049313,0.859690864194527,39.7021435496724,3.1,7,,354.007849339278,28,,,external,pkm14271
PKM14271_200mg_reference,external,200,1.14 mL of 175 mg/mL (formulation I vial),19,80,323,304.622005275942,0.94310218351685,-0.606877437780991,9.37550367520562,272.825733876291,,51.6025834730952,40.8668730650155,22.8,19.9017120393142,0.872882106987464,39.2278256514385,3,7,,352.287071730054,28,,,external,pkm14271
Cohen2022_200mg_AI,external,200,"1.14 mL of 175 mg/mL, 복부 투여",62,80.6,311,286.317858565522,0.92063620117531,-1.64701166103862,4.81865433634163,257.417743991739,,50.6096624967177,37.9421221864952,21.7,19.1066433644423,0.880490477624067,38.835598127164,3,7,,331.202584175692,28,,,external,cohen_d42
Cohen2022_200mg_PFSS,external,200,"1.14 mL of 175 mg/mL, 복부 투여",63,80.6,284,284.885412700915,1.00311765035533,0.0580805408498632,5.3678053091686,255.60047900851,,51.3263677152151,42.6056338028169,20.3,19.0479168771938,0.938321028433191,39.3226387515529,3,7,,330.2679223333,28,,,external,cohen_d42
