id,gate_role,dose_mg,presentation,n_obs,wt_mean,AUClast_obs_mean,AUClast_sim_mean,AUClast_ratio,AUClast_z,AUClast_se_obs_pct,AUClast_sim_geo,AUClast_obs_geo,AUClast_sim_logcv,AUClast_obs_cv_arith,Cmax_obs_mean,Cmax_sim_mean,Cmax_ratio,Cmax_sim_logcv,tmax_obs_median,tmax_sim_median,AUCinf_obs_mean,AUCinf_sim_mean_reliable,tlast_sim_median,pass_mean,pass_cv
clot300_nonasian_pooled,gate,300,2 mL of 150 mg/mL,40,78,544,608.412607698231,1.11840552885704,1.86872064547987,6.3361813411462,563.910372145825,,40.8746565889577,40.0735294117647,32,34.7531793825103,1.08603685570345,33.6364715092682,7,7,,650.288663885666,35,TRUE,TRUE
clot300_japanese_TDU12265,gate,300,2 mL of 150 mg/mL,6,64,700,743.325234866236,1.06189319266605,0.453524437643239,13.6471571383634,690.812658134036,,40.2859345015917,33.4285714285714,38.3,40.1939944045049,1.04945155103146,32.7691470010239,,7,,787.561202212264,42,TRUE,TRUE
clot300_chinese,gate,300,2 mL of 150 mg/mL,8,59.9,792,791.568374261574,0.999455018007038,-0.00374485259601926,14.5528289562383,734.909305509738,710,40.5801765525131,41.1616161616162,37.2,42.1105553036995,1.13200417483063,32.9694895979775,7,7,807,834.948339245862,42,TRUE,TRUE
clot600_chinese,gate,600,2 x 300 mg,8,58.3,2110,2153.71452652485,1.02071778508287,0.253887787614628,8.16021332791111,2031.89208820809,,35.7410677288436,23.0805687203792,77.3,92.1607032274972,1.19224713101549,29.7653268385889,,7,,2197.19194790068,56,TRUE,TRUE
clot600_japanese,gate,600,2 x 300 mg,,64,1780,1988.28086440792,1.11701172157748,,,1873.3937712689,,36.1492748102202,39.2696629213483,70.1,86.2239090503269,1.23001296790766,29.8899270937654,,7,,2037.92560442491,56,TRUE,TRUE
PKM14271_200mg_test,external,200,1.14 mL of 175 mg/mL,19,80,339,297.19753289133,0.876688887585043,-1.42353695091701,8.66230499570263,270.594263145517,,46.9074656338743,37.7581120943953,23.2,20.927096778105,0.902030033539008,38.9829860725362,3.1,7,,341.877097617501,28,,
PKM14271_200mg_reference,external,200,1.14 mL of 175 mg/mL (formulation I vial),19,80,323,296.753346387011,0.918741010486101,-0.866715990190432,9.37550367520562,270.424111384438,,46.640320009177,40.8668730650155,22.8,20.8722727852584,0.915450560756945,38.501055958099,3,7,,339.910065142898,28,,
Cohen2022_200mg_AI,external,200,"1.14 mL of 175 mg/mL, 복부 투여",62,80.6,311,278.908341319276,0.896811386878702,-2.14144045035692,4.81865433634163,255.18176346201,,45.5907673869751,37.9421221864952,21.7,20.040769032013,0.923537743410737,38.0695215223436,3,7,,323.322495857372,28,,
Cohen2022_200mg_PFSS,external,200,"1.14 mL of 175 mg/mL, 복부 투여",63,80.6,284,277.450649675487,0.976938907308052,-0.429618649777744,5.3678053091686,253.408142547417,,46.210635896893,42.6056338028169,20.3,19.9727120529216,0.98387744103062,38.4325863931866,3,7,,320.251572510075,28,,
