source,dose_mg,weight_mean,tlast_median_subj,tlast_p05_subj,tlast_p95_subj,tlast_cohort_median,tlast_cohort_p05,tlast_cohort_p95,n,n_aucinf,n_reliable,mean_ratio_nca_all,geo_ratio_nca_all,mean_ratio_nca_reliable,geo_ratio_nca_reliable,mean_ratio_true,geo_ratio_true,mean_ratio_obs_last_vs_true_inf
Clot 2021 Table 3,200,62.2,28,21,49,28,24.5,35,16000,15350,11834,0.950350141090652,0.942948407504982,0.960820262564535,0.95823878037783,0.987092254667558,0.983853785710637,0.957238660825914
Clot 2021 Table 3,300,59.9,42,28,56,42,35,49,16000,15915,13578,0.966795391796706,0.965048138294403,0.970490221897123,0.968911936756747,0.991243605353232,0.990976095384799,0.968696573639359
Clot 2021 Table 3,600,58.3,56,42,56,56,49,56,16000,16000,11575,0.928385669091635,0.945050057974955,0.957526002137584,0.964820673074951,0.968920149370522,0.977047180341996,0.953598976618512
FDA BLA 761055 Table 4.2.c (PKM12350),300,78,35,21,56,,,,20000,19766,16529,0.963550182552266,0.959080915095924,0.967867837081482,0.965318350033695,0.990741836496804,0.989342169336166,0.968776888219683
