study,arm,schedule,dev,auclast_obs,auclast_sim,ratio,sim_logcv,tmax_obs,tmax_sim,pass_mean,pass_cv
PKM12350,test,pkm12350,external,487.5,619.611041289122,1.27099700777256,44.0059135750251,7,7,FALSE,TRUE
PKM12350,reference,pkm12350,external,500,619.611041289122,1.23922208257824,44.0059135750251,7,7,FALSE,TRUE
PKM14161,test,pkm14161,internal,587,619.44075834721,1.05526534641773,44.3232188057148,7,7,TRUE,TRUE
PKM14161,reference,pkm14161,internal,575,619.44075834721,1.07728827538645,44.3232188057148,7,7,TRUE,TRUE
HV-1108,test,hv1108,external,630,618.711991763236,0.982082526608311,44.2808227317021,5,7,TRUE,TRUE
HV-1108,reference,hv1108,external,530,618.711991763236,1.16738111653441,44.2808227317021,6.9,7,FALSE,TRUE
