scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean,model
F090,B0,Cmax,2000,60.45,58.2890153911964,62.5709183206255,0.88048083148133,0.878635892763938,0.882325770198722,14.4229171367508,117,117,b
F090,B0,AUClast,2000,13.7,12.262476751978,15.276700880641,0.832113843707594,0.829879203574308,0.83434848384088,17.5785168492018,117,117,b
F090,B0,AUCinf_all,2000,21.3,19.5615330856634,23.1485054282805,0.844989474729655,0.842895797659796,0.847083151799513,16.5540832765746,114.7505,113.6,b
F090,B0,AUCinf_reliable,2000,24.2,22.3735597359981,26.1253599037146,0.853919305860092,0.851573263738379,0.856265347981805,18.2778552419223,91.393,87.0985,b
F090,B0,AUCinf_true,2000,15.55,14.0280173169077,17.2040672407706,0.836055793070583,0.833903277461663,0.838208308679503,16.9721198093593,117,117,b
F090,B0,AUCinf_subC,2000,13.65,12.2148802129727,15.2244891243744,0.832590015372818,0.830349519538488,0.834830511207149,17.6124571620725,117,117,b
KE120,B0,Cmax,2000,99,98.4604061540925,99.3517232123447,0.967742486091799,0.965738258898143,0.969746713285454,15.6763725834437,117,117,b
KE120,B0,AUClast,2000,63.6,61.4671009502514,65.6807553636985,0.906040412699635,0.903673894680821,0.908406930718449,18.6556086525696,117,117,b
KE120,B0,AUCinf_all,2000,71.45,69.4309332128319,73.3868254588024,0.908575919714559,0.906377479262055,0.910774360167063,17.4533247100051,114.7505,114.497,b
KE120,B0,AUCinf_reliable,2000,65.55,63.4393343169302,67.6010455126228,0.91067510578924,0.908270642933687,0.913079568644793,18.921873829335,91.393,91.778,b
KE120,B0,AUCinf_true,2000,69.4,67.3447653194441,71.3808532460433,0.908425403375617,0.906150006130295,0.910700800620939,17.9854910681867,117,117,b
KE120,B0,AUCinf_subC,2000,64.4,62.2757635689194,66.4690254693805,0.906896835547356,0.904532946421568,0.909260724673144,18.667472921953,117,117,b
KM10,B0,Cmax,2000,99.7,99.3470084926065,99.862437007637,1.00330927137036,1.00124960530607,1.00536893743466,16.1259462133217,117,117,b
KM10,B0,AUClast,2000,94.75,93.683920970839,95.6445032974889,1.01316146197601,1.01051774860934,1.01580517534268,20.8445063412067,117,117,b
KM10,B0,AUCinf_all,2000,97.3,96.4938869513423,97.9247603758512,0.989669791296796,0.98722003985292,0.992119542740671,19.2566636309519,114.7505,115.665,b
KM10,B0,AUCinf_reliable,2000,93.2,92.0118300175707,94.2225370973291,0.978268322123139,0.975665544808725,0.980871099437554,20.4852192057785,91.393,95.2775,b
KM10,B0,AUCinf_true,2000,96.75,95.8788259618199,97.441930117383,1.00930108723544,1.00676435186867,1.01183782260221,20.029972168005,117,117,b
KM10,B0,AUCinf_subC,2000,95.3,94.2824557528353,96.1438597634831,1.00740083152635,1.0047798646582,1.01002179839449,20.6600875602252,117,117,b
S00,B0,Cmax,2000,99.7,99.3470084926065,99.862437007637,1.00071027394672,0.998649354837992,1.00277119305544,16.1346573413174,117,117,b
S00,B0,AUClast,2000,95.55,94.5556235055185,96.3697334871593,1.00072552997078,0.998096075361952,1.0033549845796,20.7428052394039,117,117,b
S00,B0,AUCinf_all,2000,97.6,96.8324527691542,98.1850443296705,1.00030522989959,0.997838362060588,1.0027720977386,19.3494354538313,114.7505,114.795,b
S00,B0,AUCinf_reliable,2000,95.05,94.0099995010399,95.9172745389192,1.00096986950194,0.998287104246447,1.00365263475742,20.9167788865765,91.393,91.375,b
S00,B0,AUCinf_true,2000,97.15,96.3254740468308,97.7937483945471,1.00057705550603,0.998049107914897,1.00310500309715,19.960646505768,117,117,b
S00,B0,AUCinf_subC,2000,95.45,94.4462675371543,96.2794728649799,1.0006776821863,0.998047811541699,1.0033075528309,20.7195081926598,117,117,b
VM125,B0,Cmax,2000,96.15,95.2144892976008,96.9085672383395,0.950584856581254,0.948545626658318,0.95262408650419,15.9044490478239,117,117,b
VM125,B0,AUClast,2000,16.65,15.0815969870158,18.3462700666438,0.839936697101523,0.837619683255085,0.842253710947962,18.1921550845424,117,117,b
VM125,B0,AUCinf_all,2000,38.95,36.8360040655279,41.1063626793878,0.871395643219993,0.869199673741101,0.873591612698884,17.3751591201883,114.7505,111.8625,b
VM125,B0,AUCinf_reliable,2000,45.3,43.1294799409691,47.4885403034747,0.889252032571679,0.886714189166506,0.891789875976853,19.6767327978098,91.393,81.2945,b
VM125,B0,AUCinf_true,2000,22.3,20.5297791885631,24.1764252308183,0.849172755478876,0.846930268564022,0.85141524239373,17.6470014783113,117,117,b
VM125,B0,AUCinf_subC,2000,16.65,15.0815969870158,18.3462700666438,0.840183676309499,0.83785775966238,0.842509592956618,18.2795172865117,117,117,b
