model,model_variant,band,n,BMI_median,WT_median,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_lt80_pct,extrap_nca_median,extrap_gt20_pct,reliable_pct,reliable_rsq_extrap_pct,lambda_fail_pct,tlast_median,AUClast_geo,AUClast_logcv,dev_range_note,jitter
a,base,40-60,20000,17.2481201226696,49.9482711195014,0.507246130949801,2.57417067670028,22.9945746250586,0.005,2.14038030440537,0.526210283652401,85.165,90.815,0.23,42,860.881847496644,38.8621098587172,"",FALSE
a,base,60-75,20000,23.2392528580886,67.48971268069,0.610427216631704,2.99162890990472,12.4498757790772,0,2.55490090431871,0.71536523929471,82.775,87.945,0.75,35,614.96221324802,38.3114393096731,"",FALSE
a,base,75-90,20000,28.5023903210294,82.564512421377,0.734561297330671,3.85741039637408,19.6039316440732,0,3.00301872173853,1.34357982594534,78.94,84.755,1.755,35,488.100808371116,39.7375963568562,"",FALSE
a,base,130-150,20000,48.3479595546248,139.980158158578,1.40706246176417,8.05131524146911,19.0546447878503,0,4.82436466559902,6.75432374924982,62.735,71.37,8.355,21,250.886164735771,44.5397081638884,"개발 자료 범위 확인 불가, 외삽 가능성",FALSE
