scenario,arm,n_trials,n_reliable_mean,n_dropout_mean,wt_retained_mean,wt_dropout_mean,dropout_pct,model
F090,R,2000,91.393,25.607,99.7670697372996,104.251063037274,21.8863247863248,b
F090,T,2000,87.0985,29.9015,99.5464768464072,104.304351235412,25.5568376068376,b
KE120,R,2000,91.393,25.607,99.7670697372996,104.251063037274,21.8863247863248,b
KE120,T,2000,91.778,25.222,99.7015064227091,104.621810712755,21.557264957265,b
KM10,R,2000,91.393,25.607,99.7670697372996,104.251063037274,21.8863247863248,b
KM10,T,2000,95.2775,21.7225,100.173809946606,103.353094554666,18.5662393162393,b
S00,R,2000,91.393,25.607,99.7670697372996,104.251063037274,21.8863247863248,b
S00,T,2000,91.375,25.625,99.7742168825131,104.296303976194,21.9017094017094,b
VM125,R,2000,91.393,25.607,99.7670697372996,104.251063037274,21.8863247863248,b
VM125,T,2000,81.2945,35.7055,99.2589544331047,104.179682079957,30.5175213675214,b
