scenario,schedule,n_trials,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,last_fail_inf_pass,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi,joint_3rel,joint_3rel_lo,joint_3rel_hi,joint_3all,joint_3all_lo,joint_3all_hi,cor_logGMR_last_infrel,model
F090,B0,2000,83.3,81.6018738283267,84.8704508227418,3.1,2.42574621416418,3.95407282081734,13.6,13.7,12.262476751978,15.276700880641,10.6,9.32557769414608,12.0254856316167,12.7,11.3118611877447,14.2311505394368,0.756636450771844,b
KE120,B0,2000,79.25,77.4175230651573,80.9703296688894,9.4,8.1977180678834,10.7579461713543,11.35,63.6,61.4671009502514,65.6807553636985,54.2,52.0104658052629,56.3734309975746,61.9,59.7507663031022,64.003607971604,0.783701522596862,b
KM10,B0,2000,91.45,90.1436526481498,92.5974241322344,5.05,4.1735473261678,6.09879522441684,3.5,94.75,93.683920970839,95.6445032974889,89.7,88.2908623173894,90.9569241284791,93.9,92.7645813595183,94.8671018891877,0.80822337801586,b
S00,B0,2000,94.7,93.6296616936357,95.5989542794203,2.9,2.25004016161299,3.73054569228104,2.4,95.55,94.5556235055185,96.3697334871593,92.65,91.4227462920642,93.7137295748449,95.4,94.3916344427933,96.2342976640689,0.792070265464609,b
VM125,B0,2000,67.55,65.4661619809096,69.5665496595184,1.9,1.38737849183014,2.59704145662639,30.55,16.65,15.0815969870158,18.3462700666438,14.75,13.263505890818,16.3716459425103,16.25,14.6981708319167,17.9312298595679,0.732827973512646,b
