scenario,schedule,n_trials,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,last_fail_inf_pass,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi,joint_3rel,joint_3rel_lo,joint_3rel_hi,joint_3all,joint_3all_lo,joint_3all_hi,cor_logGMR_last_infrel,model
F090,B0,2000,82.25,80.5140809871046,83.8622694632546,3.55,2.8239876230264,4.454106069402,14.2,12.55,11.1695162798416,14.0740705615242,9.05,7.86990086182521,10.3871053105094,11.4,10.0805238976794,12.8674721524333,0.698258764780736,d
KE120,B0,2000,75.05,73.1067280197359,76.8972279114733,12.7,11.3118611877447,14.2311505394368,12.25,60.7,58.5409001587263,62.8180750294549,48.05,45.866195647116,50.2412808372809,57.75,55.5723446302164,59.8979411369242,0.715301772610739,d
KM10,B0,2000,85.65,84.0451448468587,87.118169681988,10.95,9.65558638663929,12.3941350060266,3.4,94.55,93.4670267025967,95.4621643846437,83.65,81.9649779225185,85.2060047954532,92.45,91.2090021401007,93.5282405457209,0.762758849214223,d
S00,B0,2000,89.75,88.3436204935987,91.0039742475417,7.25,6.19361686955532,8.4702906729918,3,94.9,93.846846145875,95.7810030082685,87.65,86.1354743759828,89.0201719637389,94.2,93.0883401657386,95.1421928545986,0.72483595499735,d
VM125,B0,2000,66.65,64.5535743511108,68.6825879744235,2,1.47217262012654,2.71186391887374,31.35,15.75,14.2193778747281,17.4119398640377,13.75,12.3100799879349,15.3289059399559,15.55,14.0280173169077,17.2040672407706,0.667505654588582,d
